#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.014 0 0
0.028 0 0
0.042 0 0
0.056 0 0
0.07 0.091438 0.277179
0.084 0.341291 1.01934
0.098 0.700032 2.05875
0.112 1.1165 3.22761
0.126 1.68346 4.78458
0.14 2.31449 6.45848
0.154 3.01942 8.26254
0.168 3.84976 10.3248
0.182 4.72561 12.4041
0.196 5.63584 14.4598
0.21 6.53989 16.3784
0.224 7.28903 17.7857
0.238 7.59946 18.0204
0.252 7.37826 16.9573
0.266 6.78807 15.0873
0.28 6.00365 12.8816
0.294 5.07018 10.4821
0.308 4.04164 8.03521
0.322 2.94955 5.62652
0.336 1.85416 3.38551
0.35 0.912894 1.59239
0.364 0.179268 0.29789
0.378 0 0
0.392 0 0
0.406 0 0
0.42 0 0
0.434 0 0
0.448 0 0
0.462 0 0
0.476 0 0
0.49 0 0
0.504 0 0
0.518 0 0
0.532 0 0
0.546 0 0
0.56 0 0
0.574 0 0
0.588 0 0
0.602 0 0
0.616 0 0
0.63 0 0
0.644 0 0
0.658 0 0
0.672 0 0
0.686 0 0
0.7 -nan -nan
