#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0084 2.60168 2.94971
0.0168 5.38678 6.09355
0.0252 7.73719 8.71627
0.0336 10.0603 11.2688
0.042 12.3622 13.7464
0.0504 14.7447 16.2509
0.0588 17.3226 18.8945
0.0672 19.8406 21.3824
0.0756 22.2013 23.6014
0.084 23.9839 25.1065
0.0924 24.5726 25.2835
0.1008 23.8315 24.0577
0.1092 22.052 21.8
0.1176 19.7539 19.0869
0.126 17.1627 16.1767
0.1344 14.4702 13.277
0.1428 11.7118 10.4382
0.1512 8.85934 7.652
0.1596 6.17672 5.15744
0.168 3.87743 3.12155
0.1764 1.8436 1.42696
0.1848 0.377936 0.280373
0.1932 0 0
0.2016 0 0
0.21 0 0
0.2184 0 0
0.2268 0 0
0.2352 0 0
0.2436 0 0
0.252 0 0
0.2604 0 0
0.2688 0 0
0.2772 0 0
0.2856 0 0
0.294 0 0
0.3024 0 0
0.3108 0 0
0.3192 0 0
0.3276 0 0
0.336 0 0
0.3444 0 0
0.3528 0 0
0.3612 0 0
0.3696 0 0
0.378 0 0
0.3864 0 0
0.3948 0 0
0.4032 0 0
0.4116 0 0
0.42 -nan -nan
