#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.02 0 0 0 0 0
0.04 0 0 0 0 0
0.06 0 0 0 0 0
0.08 0 0 0 0 0
0.1 0 0 0 0 0
0.12 0 0 0 0 0
0.14 0 0 0 0 0
0.16 0 0 0 0 0
0.18 0 0 0 0 0
0.2 0 0 0 0 0
0.22 0 0 0 0 0
0.24 0 0 0 0 0
0.26 0.0468139 0.0244007 0.00328264 1.44616 -1.44188
0.28 0.173082 0.0971388 0.0139801 4.85692 -4.84261
0.3 0.31296 0.188166 0.0288753 8.07051 -8.04699
0.32 0.462292 0.296455 0.0483517 11.0617 -11.03
0.34 0.616411 0.419965 0.0725792 13.7991 -13.7605
0.36 0.77002 0.555456 0.101429 16.2437 -16.1998
0.38 0.917066 0.698261 0.134369 18.3479 -18.3004
0.4 1.0506 0.842028 0.170343 20.0534 -20.0043
0.42 1.16263 0.97842 0.207622 21.2897 -21.241
0.44 1.24402 1.0968 0.24363 21.9709 -21.9249
0.46 1.28436 1.18388 0.274757 21.9932 -21.952
0.48 1.27189 1.22343 0.296143 21.2307 -21.1962
0.5 1.19358 1.19605 0.301476 19.5308 -19.5044
0.52 1.03534 1.0791 0.282817 16.7083 -16.6908
0.54 0.782479 0.847036 0.230513 12.5381 -12.5289
0.56 0.42072 0.472386 0.133321 6.74551 -6.7429
0.58 0 0 0 0 0
0.6 0 0 0 0 0
0.62 0 0 0 0 0
0.64 0 0 0 0 0
0.66 0 0 0 0 0
0.68 0 0 0 0 0
0.7 0 0 0 0 0
0.72 0 0 0 0 0
0.74 0 0 0 0 0
0.76 0 0 0 0 0
0.78 0 0 0 0 0
0.8 0 0 0 0 0
0.82 0 0 0 0 0
0.84 0 0 0 0 0
0.86 0 0 0 0 0
0.88 0 0 0 0 0
0.9 0 0 0 0 0
0.92 0 0 0 0 0
0.94 0 0 0 0 0
0.96 0 0 0 0 0
0.98 0 0 0 0 0
1 -nan -nan -nan -nan -nan
