#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.012 0 0
0.024 0.0287673 0.0659113
0.036 0.341474 0.775604
0.048 0.804519 1.80872
0.06 1.49326 3.32236
0.072 2.29189 5.03973
0.084 3.21823 6.98525
0.096 4.33302 9.27659
0.108 5.49542 11.5864
0.12 6.83168 14.1715
0.132 8.23809 16.7908
0.144 9.65739 19.3125
0.156 11.0479 21.6453
0.168 12.1553 23.2895
0.18 12.5816 23.5209
0.192 12.2063 22.2126
0.204 11.2495 19.8849
0.216 10.0132 17.1614
0.228 8.56078 14.1988
0.24 6.94626 11.1264
0.252 5.26709 8.13057
0.264 3.70379 5.49912
0.276 2.18893 3.11783
0.288 0.875696 1.19342
0.3 0.0174854 0.0227331
0.312 0 0
0.324 0 0
0.336 0 0
0.348 0 0
0.36 0 0
0.372 0 0
0.384 0 0
0.396 0 0
0.408 0 0
0.42 0 0
0.432 0 0
0.444 0 0
0.456 0 0
0.468 0 0
0.48 0 0
0.492 0 0
0.504 0 0
0.516 0 0
0.528 0 0
0.54 0 0
0.552 0 0
0.564 0 0
0.576 0 0
0.588 0 0
0.6 -nan -nan
