#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.017 0 0
0.034 0 0
0.051 0 0
0.068 0 0
0.085 0 0
0.102 0 0
0.119 0 0
0.136 0.0243271 0.104158
0.153 0.0967068 0.404572
0.17 0.203016 0.829407
0.187 0.347808 1.38709
0.204 0.541622 2.10964
0.221 0.762044 2.89417
0.238 1.03188 3.82025
0.255 1.34474 4.84969
0.272 1.68737 5.92085
0.289 2.05048 6.99207
0.306 2.41943 8.00754
0.323 2.70071 8.65497
0.34 2.78464 8.61314
0.357 2.64982 7.88562
0.374 2.39041 6.82987
0.391 2.06077 5.64384
0.408 1.66772 4.36933
0.425 1.23408 3.08628
0.442 0.791964 1.88628
0.459 0.398515 0.902263
0.476 0.0962874 0.206771
0.493 0 0
0.51 0 0
0.527 0 0
0.544 0 0
0.561 0 0
0.578 0 0
0.595 0 0
0.612 0 0
0.629 0 0
0.646 0 0
0.663 0 0
0.68 0 0
0.697 0 0
0.714 0 0
0.731 0 0
0.748 0 0
0.765 0 0
0.782 0 0
0.799 0 0
0.816 0 0
0.833 0 0
0.85 -nan -nan
