#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0148 0 0
0.0296 0 0
0.0444 0 0
0.0592 0 0
0.074 0.00681959 0.0231348
0.0888 0.0896514 0.298948
0.1036 0.247566 0.811825
0.1184 0.467971 1.50839
0.1332 0.725019 2.29292
0.148 1.07122 3.32477
0.1628 1.46465 4.45575
0.1776 1.89699 5.64887
0.1924 2.41767 7.04439
0.2072 2.96818 8.45036
0.222 3.53934 9.83273
0.2368 4.10427 11.1108
0.2516 4.52813 11.9191
0.2664 4.65378 11.8777
0.2812 4.44593 10.9715
0.296 4.0478 9.63839
0.3108 3.51888 8.06918
0.3256 2.91597 6.42765
0.3404 2.27758 4.81706
0.3552 1.62358 3.28767
0.37 0.985196 1.90534
0.3848 0.427998 0.788573
0.3996 0.0333755 0.0584153
0.4144 0 0
0.4292 0 0
0.444 0 0
0.4588 0 0
0.4736 0 0
0.4884 0 0
0.5032 0 0
0.518 0 0
0.5328 0 0
0.5476 0 0
0.5624 0 0
0.5772 0 0
0.592 0 0
0.6068 0 0
0.6216 0 0
0.6364 0 0
0.6512 0 0
0.666 0 0
0.6808 0 0
0.6956 0 0
0.7104 0 0
0.7252 0 0
0.74 -nan -nan
