#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0004 15.7059 0.847988
0.0008 31.4118 1.65815
0.0012 47.1177 2.39266
0.0016 62.8238 3.01369
0.002 78.5301 3.48342
0.0024 94.2366 3.76401
0.0028 109.943 3.81764
0.0032 125.65 3.60647
0.0036 141.358 3.09267
0.004 157.065 2.23839
0.0044 155.669 0.972979
0.0048 0 0
0.0052 0 0
0.0056 0 0
0.006 0 0
0.0064 0 0
0.0068 0 0
0.0072 0 0
0.0076 0 0
0.008 0 0
0.0084 0 0
0.0088 0 0
0.0092 0 0
0.0096 0 0
0.01 0 0
0.0104 0 0
0.0108 0 0
0.0112 0 0
0.0116 0 0
0.012 0 0
0.0124 0 0
0.0128 0 0
0.0132 0 0
0.0136 0 0
0.014 0 0
0.0144 0 0
0.0148 0 0
0.0152 0 0
0.0156 0 0
0.016 0 0
0.0164 0 0
0.0168 0 0
0.0172 0 0
0.0176 0 0
0.018 0 0
0.0184 0 0
0.0188 0 0
0.0192 0 0
0.0196 0 0
0.02 -nan -nan
