#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0018 18.7792 1.92865
0.0036 37.5594 3.80914
0.0054 56.3415 5.59333
0.0072 75.1267 7.23304
0.009 93.9157 8.68005
0.0108 112.71 9.88614
0.0126 131.51 10.803
0.0144 150.316 11.3823
0.0162 169.131 11.5757
0.018 158.513 9.9904
0.0198 124.449 7.32597
0.0216 85.102 4.61735
0.0234 40.111 1.97361
0.0252 0 0
0.027 0 0
0.0288 0 0
0.0306 0 0
0.0324 0 0
0.0342 0 0
0.036 0 0
0.0378 0 0
0.0396 0 0
0.0414 0 0
0.0432 0 0
0.045 0 0
0.0468 0 0
0.0486 0 0
0.0504 0 0
0.0522 0 0
0.054 0 0
0.0558 0 0
0.0576 0 0
0.0594 0 0
0.0612 0 0
0.063 0 0
0.0648 0 0
0.0666 0 0
0.0684 0 0
0.0702 0 0
0.072 0 0
0.0738 0 0
0.0756 0 0
0.0774 0 0
0.0792 0 0
0.081 0 0
0.0828 0 0
0.0846 0 0
0.0864 0 0
0.0882 0 0
0.09 -nan -nan
