#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0082 2.9577 3.20072
0.0164 5.95711 6.43139
0.0246 8.73324 9.39093
0.0328 11.2418 12.0206
0.041 13.7753 14.6236
0.0492 16.3498 17.2047
0.0574 19.0136 19.8009
0.0656 21.6512 22.2783
0.0738 24.0356 24.3951
0.082 25.6354 25.62
0.0902 25.9269 25.4686
0.0984 24.8115 23.9126
0.1066 22.7763 21.4966
0.1148 20.3006 18.7271
0.123 17.5236 15.7685
0.1312 14.5701 12.7622
0.1394 11.7249 9.97461
0.1476 8.81847 7.2692
0.1558 5.91149 4.71002
0.164 3.61469 2.77601
0.1722 1.61301 1.19058
0.1804 0.190815 0.134941
0.1886 0 0
0.1968 0 0
0.205 0 0
0.2132 0 0
0.2214 0 0
0.2296 0 0
0.2378 0 0
0.246 0 0
0.2542 0 0
0.2624 0 0
0.2706 0 0
0.2788 0 0
0.287 0 0
0.2952 0 0
0.3034 0 0
0.3116 0 0
0.3198 0 0
0.328 0 0
0.3362 0 0
0.3444 0 0
0.3526 0 0
0.3608 0 0
0.369 0 0
0.3772 0 0
0.3854 0 0
0.3936 0 0
0.4018 0 0
0.41 -nan -nan
