#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0178 0 0 0 0 0
0.0356 0 0 0 0 0
0.0534 0 0 0 0 0
0.0712 0 0 0 0 0
0.089 0 0 0 0 0
0.1068 0 0 0 0 0
0.1246 0 0 0 0 0
0.1424 0 0 0 0 0
0.1602 0.0159971 0.0057769 0.000569779 0.412338 -0.411954
0.178 0.0589063 0.0236324 0.00253798 1.42172 -1.42028
0.1958 0.125626 0.055433 0.00645598 2.86155 -2.85845
0.2136 0.214 0.103003 0.0129495 4.60731 -4.60204
0.2314 0.340429 0.177502 0.0239961 7.03208 -7.02391
0.2492 0.489198 0.27468 0.0397585 9.69549 -9.68411
0.267 0.662453 0.39852 0.0615248 12.6289 -12.6141
0.2848 0.869623 0.558026 0.0915762 16.0575 -16.0391
0.3026 1.09432 0.746106 0.129735 19.6111 -19.5896
0.3204 1.33135 0.961132 0.176564 23.2262 -23.2021
0.3382 1.55492 1.18494 0.229356 26.4333 -26.4077
0.356 1.6975 1.36172 0.277005 27.9927 -27.967
0.3738 1.708 1.43869 0.306856 27.151 -27.1267
0.3916 1.59681 1.40912 0.314465 24.3801 -24.3583
0.4094 1.41905 1.30923 0.305143 20.8646 -20.846
0.4272 1.18584 1.1417 0.277438 16.8324 -16.8176
0.445 0.919609 0.922347 0.233324 12.6489 -12.6379
0.4628 0.639397 0.667028 0.175403 8.55649 -8.54928
0.4806 0.368101 0.398836 0.108877 4.81331 -4.80934
0.4984 0.138584 0.155746 0.044084 1.78173 -1.7803
0.5162 0.000361501 0.000420884 0.000123386 0.00460422 -0.00460059
0.534 0 0 0 0 0
0.5518 0 0 0 0 0
0.5696 0 0 0 0 0
0.5874 0 0 0 0 0
0.6052 0 0 0 0 0
0.623 0 0 0 0 0
0.6408 0 0 0 0 0
0.6586 0 0 0 0 0
0.6764 0 0 0 0 0
0.6942 0 0 0 0 0
0.712 0 0 0 0 0
0.7298 0 0 0 0 0
0.7476 0 0 0 0 0
0.7654 0 0 0 0 0
0.7832 0 0 0 0 0
0.801 0 0 0 0 0
0.8188 0 0 0 0 0
0.8366 0 0 0 0 0
0.8544 0 0 0 0 0
0.8722 0 0 0 0 0
0.89 -nan -nan -nan -nan -nan
