#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0134 0 0
0.0268 0 0
0.0402 0 0
0.0536 0.0627808 0.17644
0.067 0.316417 0.877748
0.0804 0.686214 1.87715
0.0938 1.15445 3.11037
0.1072 1.77632 4.71366
0.1206 2.43991 6.36537
0.134 3.27169 8.38869
0.1474 4.17235 10.5003
0.1608 5.13916 12.6784
0.1742 6.17485 14.9157
0.1876 7.21658 17.0448
0.201 8.17783 18.8565
0.2144 8.74376 19.6369
0.2278 8.74287 19.076
0.2412 8.19793 17.3351
0.2546 7.36215 15.0583
0.268 6.35032 12.5409
0.2814 5.19309 9.88198
0.2948 4.02415 7.36564
0.3082 2.83611 4.98224
0.3216 1.67785 2.82181
0.335 0.671915 1.0791
0.3484 0.0122651 0.0187561
0.3618 0 0
0.3752 0 0
0.3886 0 0
0.402 0 0
0.4154 0 0
0.4288 0 0
0.4422 0 0
0.4556 0 0
0.469 0 0
0.4824 0 0
0.4958 0 0
0.5092 0 0
0.5226 0 0
0.536 0 0
0.5494 0 0
0.5628 0 0
0.5762 0 0
0.5896 0 0
0.603 0 0
0.6164 0 0
0.6298 0 0
0.6432 0 0
0.6566 0 0
0.67 -nan -nan
