#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0172 0 0 0 0 0
0.0344 0 0 0 0 0
0.0516 0 0 0 0 0
0.0688 0 0 0 0 0
0.086 0 0 0 0 0
0.1032 0 0 0 0 0
0.1204 0 0 0 0 0
0.1376 0 0 0 0 0
0.1548 0 0 0 0 0
0.172 0.00150934 0.000605906 6.60178e-05 0.037505 -0.0374933
0.1892 0.188515 0.0832279 0.00979488 4.34276 -4.3408
0.2064 0.38901 0.187329 0.0237381 8.3717 -8.36687
0.2236 0.598062 0.31196 0.0424163 12.1024 -12.094
0.2408 0.810353 0.455168 0.0661698 15.5077 -15.4954
0.258 1.02007 0.613849 0.095087 18.5544 -18.538
0.2752 1.22081 0.783588 0.12892 21.2023 -21.182
0.2924 1.40544 0.958451 0.166983 23.4033 -23.3796
0.3096 1.566 1.13076 0.208038 25.1003 -25.0739
0.3268 1.69358 1.29084 0.25015 26.2252 -26.1969
0.344 1.77819 1.42671 0.290537 26.6976 -26.6686
0.3612 1.80869 1.52382 0.325384 26.4224 -26.3938
0.3784 1.77266 1.5647 0.349646 25.2871 -25.2603
0.3956 1.65648 1.52877 0.356843 23.1593 -23.1354
0.4128 1.44533 1.39208 0.338848 19.882 -19.8624
0.43 1.12347 1.12735 0.285714 15.27 -15.2556
0.4472 0.67472 0.704276 0.18558 9.10358 -9.09543
0.4644 0.0833433 0.0903633 0.0247246 1.12221 -1.12125
0.4816 0 0 0 0 0
0.4988 0 0 0 0 0
0.516 0 0 0 0 0
0.5332 0 0 0 0 0
0.5504 0 0 0 0 0
0.5676 0 0 0 0 0
0.5848 0 0 0 0 0
0.602 0 0 0 0 0
0.6192 0 0 0 0 0
0.6364 0 0 0 0 0
0.6536 0 0 0 0 0
0.6708 0 0 0 0 0
0.688 0 0 0 0 0
0.7052 0 0 0 0 0
0.7224 0 0 0 0 0
0.7396 0 0 0 0 0
0.7568 0 0 0 0 0
0.774 0 0 0 0 0
0.7912 0 0 0 0 0
0.8084 0 0 0 0 0
0.8256 0 0 0 0 0
0.8428 0 0 0 0 0
0.86 -nan -nan -nan -nan -nan
