#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0178 0 0
0.0356 0 0
0.0534 0 0
0.0712 0 0
0.089 0 0
0.1068 0 0
0.1246 0 0
0.1424 0 0
0.1602 0.0177056 0.0818955
0.178 0.100746 0.454101
0.1958 0.230879 1.01404
0.2136 0.393865 1.68311
0.2314 0.628046 2.61556
0.2492 0.898613 3.64229
0.267 1.2081 4.76075
0.2848 1.57746 6.04256
0.3026 1.98227 7.37323
0.3204 2.4151 8.71385
0.3382 2.82852 9.88384
0.356 3.09018 10.428
0.3738 3.10173 10.0745
0.3916 2.88927 9.00669
0.4094 2.56562 7.66305
0.4272 2.14801 6.1359
0.445 1.67141 4.55801
0.4628 1.1627 3.02091
0.4806 0.658303 1.62594
0.4984 0.219679 0.514655
0.5162 0 0
0.534 0 0
0.5518 0 0
0.5696 0 0
0.5874 0 0
0.6052 0 0
0.623 0 0
0.6408 0 0
0.6586 0 0
0.6764 0 0
0.6942 0 0
0.712 0 0
0.7298 0 0
0.7476 0 0
0.7654 0 0
0.7832 0 0
0.801 0 0
0.8188 0 0
0.8366 0 0
0.8544 0 0
0.8722 0 0
0.89 -nan -nan
