#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0156 0 0
0.0312 0 0
0.0468 0 0
0.0624 0 0
0.078 0 0
0.0936 0 0
0.1092 0.0758302 0.277773
0.1248 0.247251 0.887839
0.1404 0.503658 1.77348
0.156 0.810776 2.79548
0.1716 1.19333 4.02646
0.1872 1.65935 5.47735
0.2028 2.17079 7.0003
0.2184 2.74908 8.65348
0.234 3.38726 10.3981
0.2496 4.05594 12.1277
0.2652 4.68592 13.626
0.2808 5.09628 14.3758
0.2964 5.14358 14.0345
0.312 4.83483 12.7255
0.3276 4.33324 10.9807
0.3432 3.71343 9.04413
0.3588 2.9916 6.98886
0.3744 2.20113 4.92156
0.39 1.43408 3.06332
0.4056 0.7274 1.48116
0.4212 0.145413 0.281376
0.4368 0 0
0.4524 0 0
0.468 0 0
0.4836 0 0
0.4992 0 0
0.5148 0 0
0.5304 0 0
0.546 0 0
0.5616 0 0
0.5772 0 0
0.5928 0 0
0.6084 0 0
0.624 0 0
0.6396 0 0
0.6552 0 0
0.6708 0 0
0.6864 0 0
0.702 0 0
0.7176 0 0
0.7332 0 0
0.7488 0 0
0.7644 0 0
0.78 -nan -nan
