#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.004 12.3605 0.579426 2.1309 47.197 -30.8676
0.008 24.6794 2.31497 4.3041 94.3126 -61.6742
0.012 36.9144 5.19842 6.56168 141.265 -92.3586
0.016 49.023 9.21594 8.94531 187.973 -122.86
0.02 60.9612 14.348 11.496 234.355 -153.115
0.024 72.6841 20.5689 14.2539 280.327 -183.064
0.028 75.2856 24.8784 15.3073 289.421 -188.745
0.032 72.9715 27.5723 15.3976 278.727 -181.428
0.036 69.3376 29.4947 15.2466 263.077 -170.885
0.04 64.3221 30.4288 14.7927 242.348 -157.061
0.044 57.8563 30.1404 13.9601 216.404 -139.897
0.048 49.8635 28.3756 12.6574 185.096 -119.333
0.052 40.2581 24.857 10.7752 148.26 -95.3029
0.056 28.9447 19.2805 8.18412 105.717 -67.7399
0.06 15.8168 11.3111 4.73175 57.272 -36.5719
0.064 0.754904 0.577151 0.239239 2.70891 -1.72341
0.068 0 0 0 0 0
0.072 0 0 0 0 0
0.076 0 0 0 0 0
0.08 0 0 0 0 0
0.084 0 0 0 0 0
0.088 0 0 0 0 0
0.092 0 0 0 0 0
0.096 0 0 0 0 0
0.1 0 0 0 0 0
0.104 0 0 0 0 0
0.108 0 0 0 0 0
0.112 0 0 0 0 0
0.116 0 0 0 0 0
0.12 0 0 0 0 0
0.124 0 0 0 0 0
0.128 0 0 0 0 0
0.132 0 0 0 0 0
0.136 0 0 0 0 0
0.14 0 0 0 0 0
0.144 0 0 0 0 0
0.148 0 0 0 0 0
0.152 0 0 0 0 0
0.156 0 0 0 0 0
0.16 0 0 0 0 0
0.164 0 0 0 0 0
0.168 0 0 0 0 0
0.172 0 0 0 0 0
0.176 0 0 0 0 0
0.18 0 0 0 0 0
0.184 0 0 0 0 0
0.188 0 0 0 0 0
0.192 0 0 0 0 0
0.196 0 0 0 0 0
0.2 -nan -nan -nan -nan -nan
