#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0106 0 0
0.0212 0 0
0.0318 1.15122 2.05579
0.0424 2.72019 4.81417
0.053 4.19017 7.34051
0.0636 5.55729 9.62484
0.0742 6.81618 11.6564
0.0848 7.95987 13.4235
0.0954 8.97953 14.9136
0.106 9.86431 16.1131
0.1166 10.601 17.0075
0.1272 11.1738 17.5813
0.1378 11.5637 17.8176
0.1484 11.7482 17.699
0.159 11.7007 17.2065
0.1696 11.3895 16.3206
0.1802 10.7771 15.0206
0.1908 9.81918 13.2851
0.2014 8.46302 11.092
0.212 6.64589 8.41903
0.2226 4.29297 5.24375
0.2332 1.31464 1.5443
0.2438 0 0
0.2544 0 0
0.265 0 0
0.2756 0 0
0.2862 0 0
0.2968 0 0
0.3074 0 0
0.318 0 0
0.3286 0 0
0.3392 0 0
0.3498 0 0
0.3604 0 0
0.371 0 0
0.3816 0 0
0.3922 0 0
0.4028 0 0
0.4134 0 0
0.424 0 0
0.4346 0 0
0.4452 0 0
0.4558 0 0
0.4664 0 0
0.477 0 0
0.4876 0 0
0.4982 0 0
0.5088 0 0
0.5194 0 0
0.53 -nan -nan
