#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.01 0 0
0.02 0.905615 1.44918
0.03 2.79505 4.44242
0.04 4.56068 7.19036
0.05 6.19935 9.68267
0.06 7.70627 11.9084
0.07 9.07488 13.8558
0.08 10.2967 15.5125
0.09 11.361 16.8653
0.1 12.2549 17.9002
0.11 12.9624 18.6024
0.12 13.4647 18.9563
0.13 13.7393 18.9455
0.14 13.7595 18.5528
0.15 13.4939 17.7604
0.16 12.9053 16.5499
0.17 11.9497 14.9025
0.18 10.5753 12.7989
0.19 8.72081 10.2201
0.2 6.31328 7.1474
0.21 3.26613 3.56303
0.22 0 0
0.23 0 0
0.24 0 0
0.25 0 0
0.26 0 0
0.27 0 0
0.28 0 0
0.29 0 0
0.3 0 0
0.31 0 0
0.32 0 0
0.33 0 0
0.34 0 0
0.35 0 0
0.36 0 0
0.37 0 0
0.38 0 0
0.39 0 0
0.4 0 0
0.41 0 0
0.42 0 0
0.43 0 0
0.44 0 0
0.45 0 0
0.46 0 0
0.47 0 0
0.48 0 0
0.49 0 0
0.5 -nan -nan
