#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0176 0 0
0.0352 0 0
0.0528 0 0
0.0704 0 0
0.088 0 0
0.1056 0 0
0.1232 0 0
0.1408 7.6193e-05 0.000351414
0.1584 0.036415 0.16368
0.176 0.111239 0.487841
0.1936 0.22085 0.945009
0.2112 0.355903 1.48365
0.2288 0.537915 2.18583
0.2464 0.755631 2.99097
0.264 1.0029 3.86227
0.2816 1.28734 4.8202
0.2992 1.60715 5.84637
0.3168 1.93837 6.84132
0.3344 2.24805 7.68533
0.352 2.42032 7.98969
0.3696 2.39388 7.60476
0.3872 2.21519 6.75441
0.4048 1.94998 5.69651
0.4224 1.6197 4.52481
0.44 1.25335 3.34231
0.4576 0.870928 2.21258
0.4752 0.497428 1.20111
0.4928 0.174721 0.399999
0.5104 0 0
0.528 0 0
0.5456 0 0
0.5632 0 0
0.5808 0 0
0.5984 0 0
0.616 0 0
0.6336 0 0
0.6512 0 0
0.6688 0 0
0.6864 0 0
0.704 0 0
0.7216 0 0
0.7392 0 0
0.7568 0 0
0.7744 0 0
0.792 0 0
0.8096 0 0
0.8272 0 0
0.8448 0 0
0.8624 0 0
0.88 -nan -nan
