#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0058 12.4081 6.98002
0.0116 24.8217 13.9149
0.0174 37.2467 20.7592
0.0232 49.6885 27.4677
0.029 54.4075 29.8747
0.0348 56.581 30.8251
0.0406 57.9534 31.2619
0.0464 58.4866 31.1736
0.0522 58.1345 30.5513
0.058 56.8422 29.3883
0.0638 54.5451 27.6804
0.0696 51.1674 25.4266
0.0754 46.6207 22.6292
0.0812 40.8027 19.2946
0.087 33.5945 15.4335
0.0928 24.8582 11.062
0.0986 14.4341 6.20224
0.1044 2.1367 0.883526
0.1102 0 0
0.116 0 0
0.1218 0 0
0.1276 0 0
0.1334 0 0
0.1392 0 0
0.145 0 0
0.1508 0 0
0.1566 0 0
0.1624 0 0
0.1682 0 0
0.174 0 0
0.1798 0 0
0.1856 0 0
0.1914 0 0
0.1972 0 0
0.203 0 0
0.2088 0 0
0.2146 0 0
0.2204 0 0
0.2262 0 0
0.232 0 0
0.2378 0 0
0.2436 0 0
0.2494 0 0
0.2552 0 0
0.261 0 0
0.2668 0 0
0.2726 0 0
0.2784 0 0
0.2842 0 0
0.29 -nan -nan
