#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0154 0 0
0.0308 0 0
0.0462 0 0
0.0616 0 0
0.077 0 0
0.0924 0.00406513 0.0147739
0.1078 0.121 0.431793
0.1232 0.309117 1.08121
0.1386 0.593695 2.0367
0.154 0.942783 3.16938
0.1694 1.34075 4.41028
0.1848 1.8543 5.97007
0.2002 2.4115 7.58803
0.2156 3.02731 9.30014
0.231 3.70046 11.088
0.2464 4.38549 12.7996
0.2618 5.02134 14.2527
0.2772 5.38323 14.8206
0.2926 5.35415 14.2565
0.308 4.98524 12.8054
0.3234 4.44452 10.9934
0.3388 3.77736 8.9807
0.3542 3.01808 6.88361
0.3696 2.19892 4.8007
0.385 1.37214 2.86079
0.4004 0.648754 1.2892
0.4158 0.108552 0.205098
0.4312 0 0
0.4466 0 0
0.462 0 0
0.4774 0 0
0.4928 0 0
0.5082 0 0
0.5236 0 0
0.539 0 0
0.5544 0 0
0.5698 0 0
0.5852 0 0
0.6006 0 0
0.616 0 0
0.6314 0 0
0.6468 0 0
0.6622 0 0
0.6776 0 0
0.693 0 0
0.7084 0 0
0.7238 0 0
0.7392 0 0
0.7546 0 0
0.77 -nan -nan
