#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0088 2.12844 2.64191
0.0176 4.18375 5.17991
0.0264 6.08571 7.50216
0.0352 7.94318 9.73338
0.044 9.87286 12.0069
0.0528 12.1092 14.5957
0.0616 14.3587 17.1261
0.0704 16.6402 19.6092
0.0792 18.84 21.9
0.088 20.8046 23.8156
0.0968 21.8822 24.6227
0.1056 21.8007 24.0679
0.1144 20.5488 22.2149
0.1232 18.6964 19.7554
0.132 16.5048 17.0127
0.1408 14.0979 14.1475
0.1496 11.5316 11.2424
0.1584 8.91814 8.4278
0.1672 6.57205 6.00621
0.176 4.26446 3.75929
0.1848 2.20398 1.86898
0.1936 0.687568 0.559236
0.2024 0 0
0.2112 0 0
0.22 0 0
0.2288 0 0
0.2376 0 0
0.2464 0 0
0.2552 0 0
0.264 0 0
0.2728 0 0
0.2816 0 0
0.2904 0 0
0.2992 0 0
0.308 0 0
0.3168 0 0
0.3256 0 0
0.3344 0 0
0.3432 0 0
0.352 0 0
0.3608 0 0
0.3696 0 0
0.3784 0 0
0.3872 0 0
0.396 0 0
0.4048 0 0
0.4136 0 0
0.4224 0 0
0.4312 0 0
0.44 -nan -nan
