#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0106 0.355413 0.638102
0.0212 1.02201 1.82473
0.0318 1.97635 3.50649
0.0424 3.0259 5.32579
0.053 4.39588 7.66924
0.0636 5.87444 10.1443
0.0742 7.5192 12.8355
0.0848 9.37367 15.799
0.0954 11.2823 18.7479
0.106 13.2617 21.6959
0.1166 15.2073 24.4572
0.1272 16.9764 26.7967
0.1378 18.0145 27.8529
0.1484 18.0308 27.2497
0.159 17.006 25.0676
0.1696 15.4467 22.166
0.1802 13.5491 18.8921
0.1908 11.4518 15.4855
0.2014 9.21902 12.0646
0.212 6.86826 8.67869
0.2226 4.70948 5.73362
0.2332 2.74985 3.21766
0.2438 1.05567 1.18391
0.2544 0.00658554 0.00705729
0.265 0 0
0.2756 0 0
0.2862 0 0
0.2968 0 0
0.3074 0 0
0.318 0 0
0.3286 0 0
0.3392 0 0
0.3498 0 0
0.3604 0 0
0.371 0 0
0.3816 0 0
0.3922 0 0
0.4028 0 0
0.4134 0 0
0.424 0 0
0.4346 0 0
0.4452 0 0
0.4558 0 0
0.4664 0 0
0.477 0 0
0.4876 0 0
0.4982 0 0
0.5088 0 0
0.5194 0 0
0.53 -nan -nan
