#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0188 0 0 0 0 0
0.0376 0 0 0 0 0
0.0564 0 0 0 0 0
0.0752 0 0 0 0 0
0.094 0 0 0 0 0
0.1128 0 0 0 0 0
0.1316 0 0 0 0 0
0.1504 0 0 0 0 0
0.1692 0 0 0 0 0
0.188 0 0 0 0 0
0.2068 0 0 0 0 0
0.2256 0.0909239 0.0437632 0.00550102 2.50269 -2.49857
0.2444 0.259869 0.135481 0.0182827 6.57474 -6.56363
0.2632 0.442714 0.248528 0.0358803 10.3914 -10.3735
0.282 0.634447 0.381567 0.0587318 13.925 -13.9008
0.3008 0.829526 0.532113 0.0870375 17.1411 -17.1114
0.3196 1.02175 0.696346 0.12067 19.9978 -19.9636
0.3384 1.20411 0.86888 0.159065 22.444 -22.4065
0.3572 1.36869 1.0425 0.201091 24.4179 -24.3787
0.376 1.50647 1.20784 0.2449 25.8452 -25.806
0.3948 1.60723 1.35309 0.287744 26.6369 -26.5993
0.4136 1.65941 1.46361 0.325778 26.686 -26.6519
0.4324 1.65003 1.52159 0.353832 25.8645 -25.8354
0.4512 1.5647 1.50576 0.365186 24.0189 -23.996
0.47 1.38775 1.39127 0.351347 20.9651 -20.9492
0.4888 1.10255 1.14973 0.301893 16.482 -16.473
0.5076 0.692313 0.749844 0.204445 10.3036 -10.3002
0.5264 0.141335 0.158787 0.044899 2.109 -2.1088
0.5452 0 0 0 0 0
0.564 0 0 0 0 0
0.5828 0 0 0 0 0
0.6016 0 0 0 0 0
0.6204 0 0 0 0 0
0.6392 0 0 0 0 0
0.658 0 0 0 0 0
0.6768 0 0 0 0 0
0.6956 0 0 0 0 0
0.7144 0 0 0 0 0
0.7332 0 0 0 0 0
0.752 0 0 0 0 0
0.7708 0 0 0 0 0
0.7896 0 0 0 0 0
0.8084 0 0 0 0 0
0.8272 0 0 0 0 0
0.846 0 0 0 0 0
0.8648 0 0 0 0 0
0.8836 0 0 0 0 0
0.9024 0 0 0 0 0
0.9212 0 0 0 0 0
0.94 -nan -nan -nan -nan -nan
