#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0082 2.55163 0.104566 0.0635606 18.0646 -16.8109
0.0164 5.13973 0.421258 0.134427 36.3194 -33.7935
0.0246 7.54789 0.927923 0.212631 53.0624 -49.3555
0.0328 9.74749 1.59766 0.301811 67.9595 -63.1798
0.041 11.9799 2.45433 0.414456 82.7618 -76.8946
0.0492 14.2529 3.50393 0.557053 97.5264 -90.5507
0.0574 16.5959 4.76008 0.737622 112.506 -104.381
0.0656 18.904 6.19719 0.958021 126.967 -117.703
0.0738 20.9795 7.73819 1.21196 139.54 -129.243
0.082 22.3746 9.17088 1.4697 147.142 -136.144
0.0902 22.648 10.2123 1.68514 146.902 -135.758
0.0984 21.7116 10.681 1.82216 138.553 -127.866
0.1066 19.9666 10.6421 1.88249 125.182 -115.35
0.1148 17.8135 10.2264 1.87953 109.69 -100.91
0.123 15.3775 9.46032 1.80873 92.9789 -85.3866
0.1312 12.7733 8.3842 1.66847 75.8261 -69.5045
0.1394 10.25 7.1509 1.48167 59.7909 -54.6992
0.1476 7.68157 5.67652 1.22425 44.0045 -40.1725
0.1558 5.12869 4.0023 0.897936 28.8214 -26.2513
0.164 3.11155 2.55756 0.596914 17.2078 -15.6371
0.1722 1.37645 1.18877 0.288399 7.4858 -6.78541
0.1804 0.16117 0.145939 0.0367767 0.862003 -0.779242
0.1886 0 0 0 0 0
0.1968 0 0 0 0 0
0.205 0 0 0 0 0
0.2132 0 0 0 0 0
0.2214 0 0 0 0 0
0.2296 0 0 0 0 0
0.2378 0 0 0 0 0
0.246 0 0 0 0 0
0.2542 0 0 0 0 0
0.2624 0 0 0 0 0
0.2706 0 0 0 0 0
0.2788 0 0 0 0 0
0.287 0 0 0 0 0
0.2952 0 0 0 0 0
0.3034 0 0 0 0 0
0.3116 0 0 0 0 0
0.3198 0 0 0 0 0
0.328 0 0 0 0 0
0.3362 0 0 0 0 0
0.3444 0 0 0 0 0
0.3526 0 0 0 0 0
0.3608 0 0 0 0 0
0.369 0 0 0 0 0
0.3772 0 0 0 0 0
0.3854 0 0 0 0 0
0.3936 0 0 0 0 0
0.4018 0 0 0 0 0
0.41 -nan -nan -nan -nan -nan
