#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.019 0 0
0.038 0 0
0.057 0 0
0.076 0 0
0.095 0 0
0.114 0 0
0.133 0 0
0.152 0 0
0.171 0 0
0.19 0 0
0.209 0 0
0.228 0.0315875 0.157874
0.247 0.223179 1.07816
0.266 0.415512 1.93995
0.285 0.606666 2.73673
0.304 0.794212 3.46062
0.323 0.975082 4.1021
0.342 1.1454 4.64984
0.361 1.30026 5.09035
0.38 1.43346 5.40764
0.399 1.53716 5.58284
0.418 1.6014 5.5937
0.437 1.61355 5.41404
0.456 1.55749 5.0131
0.475 1.41263 4.35475
0.494 1.15252 3.39664
0.513 0.743023 2.08914
0.532 0.139831 0.374194
0.551 0 0
0.57 0 0
0.589 0 0
0.608 0 0
0.627 0 0
0.646 0 0
0.665 0 0
0.684 0 0
0.703 0 0
0.722 0 0
0.741 0 0
0.76 0 0
0.779 0 0
0.798 0 0
0.817 0 0
0.836 0 0
0.855 0 0
0.874 0 0
0.893 0 0
0.912 0 0
0.931 0 0
0.95 -nan -nan
