#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.013 0 0
0.026 0 0
0.039 0 0
0.052 0 0
0.065 0 0
0.078 0.628225 1.63533
0.091 1.44033 3.68878
0.104 2.2142 5.57379
0.117 2.94584 7.28156
0.13 3.63022 8.80205
0.143 4.26112 10.1239
0.156 4.83097 11.2342
0.169 5.33053 12.1188
0.182 5.74868 12.7615
0.195 6.07202 13.1445
0.208 6.28444 13.2481
0.221 6.36657 13.0506
0.234 6.29515 12.5281
0.247 6.04214 11.6544
0.26 5.57375 10.4011
0.273 4.84909 8.73705
0.286 3.81856 6.62902
0.299 2.42174 4.04119
0.312 0.584724 0.935526
0.325 0 0
0.338 0 0
0.351 0 0
0.364 0 0
0.377 0 0
0.39 0 0
0.403 0 0
0.416 0 0
0.429 0 0
0.442 0 0
0.455 0 0
0.468 0 0
0.481 0 0
0.494 0 0
0.507 0 0
0.52 0 0
0.533 0 0
0.546 0 0
0.559 0 0
0.572 0 0
0.585 0 0
0.598 0 0
0.611 0 0
0.624 0 0
0.637 0 0
0.65 -nan -nan
