#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0072 6.64662 5.6005
0.0144 13.4472 11.3025
0.0216 19.4929 16.3209
0.0288 25.7107 21.4062
0.036 30.7038 25.3843
0.0432 35.3763 28.9947
0.0504 39.8393 32.3148
0.0576 43.8154 35.1108
0.0648 46.0791 36.4183
0.072 46.0417 35.8301
0.0792 43.6144 33.3637
0.0864 39.8049 29.8763
0.0936 35.371 25.9963
0.1008 30.4088 21.8393
0.108 25.1532 17.6141
0.1152 20.1708 13.7392
0.1224 15.0534 9.94976
0.1296 10.0433 6.42527
0.1368 6.02322 3.718
0.144 2.48204 1.47401
0.1512 0.11737 0.0668394
0.1584 0 0
0.1656 0 0
0.1728 0 0
0.18 0 0
0.1872 0 0
0.1944 0 0
0.2016 0 0
0.2088 0 0
0.216 0 0
0.2232 0 0
0.2304 0 0
0.2376 0 0
0.2448 0 0
0.252 0 0
0.2592 0 0
0.2664 0 0
0.2736 0 0
0.2808 0 0
0.288 0 0
0.2952 0 0
0.3024 0 0
0.3096 0 0
0.3168 0 0
0.324 0 0
0.3312 0 0
0.3384 0 0
0.3456 0 0
0.3528 0 0
0.36 -nan -nan
