#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0188 0 0
0.0376 0 0
0.0564 0 0
0.0752 0 0
0.094 0 0
0.1128 0 0
0.1316 0 0
0.1504 0 0
0.1692 0 0
0.188 0.0116584 0.0590422
0.2068 0.0758238 0.373089
0.2256 0.178719 0.854501
0.2444 0.310354 1.43999
0.2632 0.499323 2.25228
0.282 0.721979 3.16242
0.3008 0.979603 4.16279
0.3196 1.28099 5.27894
0.3384 1.62295 6.48192
0.3572 1.98077 7.65758
0.376 2.31674 8.65525
0.3948 2.50323 9.00813
0.4136 2.47082 8.53406
0.4324 2.27819 7.53341
0.4512 1.98254 6.26458
0.47 1.61365 4.86359
0.4888 1.20536 3.45957
0.5076 0.782225 2.13401
0.5264 0.374649 0.969307
0.5452 0.0568611 0.139161
0.564 0 0
0.5828 0 0
0.6016 0 0
0.6204 0 0
0.6392 0 0
0.658 0 0
0.6768 0 0
0.6956 0 0
0.7144 0 0
0.7332 0 0
0.752 0 0
0.7708 0 0
0.7896 0 0
0.8084 0 0
0.8272 0 0
0.846 0 0
0.8648 0 0
0.8836 0 0
0.9024 0 0
0.9212 0 0
0.94 -nan -nan
