#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0022 34.1972 3.38423
0.0044 65.4497 6.46593
0.0066 87.6494 8.70468
0.0088 101.289 10.1005
0.011 106.618 10.6684
0.0132 105.857 10.5894
0.0154 103.896 10.2629
0.0176 96.3673 9.38595
0.0198 88.2854 8.37084
0.022 78.6181 7.1855
0.0242 64.6317 5.68025
0.0264 48.8079 4.1048
0.0286 33.2302 2.66635
0.0308 19.2031 1.45959
0.033 9.09544 0.642559
0.0352 1.57022 0.102185
0.0374 0 0
0.0396 0 0
0.0418 0 0
0.044 0 0
0.0462 0 0
0.0484 0 0
0.0506 0 0
0.0528 0 0
0.055 0 0
0.0572 0 0
0.0594 0 0
0.0616 0 0
0.0638 0 0
0.066 0 0
0.0682 0 0
0.0704 0 0
0.0726 0 0
0.0748 0 0
0.077 0 0
0.0792 0 0
0.0814 0 0
0.0836 0 0
0.0858 0 0
0.088 0 0
0.0902 0 0
0.0924 0 0
0.0946 0 0
0.0968 0 0
0.099 0 0
0.1012 0 0
0.1034 0 0
0.1056 0 0
0.1078 0 0
0.11 -nan -nan
