#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0064 7.05283 4.74976
0.0128 13.7505 9.23961
0.0192 20.7124 13.8559
0.0256 26.9424 17.9195
0.032 32.7439 21.6146
0.0384 37.5384 24.5555
0.0448 41.1719 26.6475
0.0512 43.236 27.6442
0.0576 43.1926 27.2402
0.064 40.9658 25.4448
0.0704 37.4411 22.8622
0.0768 33.3434 19.9745
0.0832 28.7944 16.887
0.0896 24.0925 13.801
0.096 19.5454 10.9082
0.1024 14.8658 8.06419
0.1088 10.4668 5.50376
0.1152 6.74789 3.42833
0.1216 3.40241 1.6655
0.128 0.94531 0.444215
0.1344 0 0
0.1408 0 0
0.1472 0 0
0.1536 0 0
0.16 0 0
0.1664 0 0
0.1728 0 0
0.1792 0 0
0.1856 0 0
0.192 0 0
0.1984 0 0
0.2048 0 0
0.2112 0 0
0.2176 0 0
0.224 0 0
0.2304 0 0
0.2368 0 0
0.2432 0 0
0.2496 0 0
0.256 0 0
0.2624 0 0
0.2688 0 0
0.2752 0 0
0.2816 0 0
0.288 0 0
0.2944 0 0
0.3008 0 0
0.3072 0 0
0.3136 0 0
0.32 -nan -nan
