#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0066 6.50382 4.64313
0.0132 12.6848 9.03557
0.0198 19.0896 13.539
0.0264 24.7178 17.4322
0.033 30.0329 21.0245
0.0396 34.4325 23.8901
0.0462 38.0235 26.1044
0.0528 40.463 27.4419
0.0594 40.9388 27.3852
0.066 39.3214 25.9032
0.0726 36.2311 23.4636
0.0792 32.3924 20.5822
0.0858 28.1847 17.5338
0.0924 23.8695 14.5054
0.099 19.4546 11.5217
0.1056 14.8608 8.55778
0.1122 10.8426 6.05313
0.1188 7.09068 3.82719
0.1254 3.70811 1.92961
0.132 1.20214 0.600959
0.1386 0 0
0.1452 0 0
0.1518 0 0
0.1584 0 0
0.165 0 0
0.1716 0 0
0.1782 0 0
0.1848 0 0
0.1914 0 0
0.198 0 0
0.2046 0 0
0.2112 0 0
0.2178 0 0
0.2244 0 0
0.231 0 0
0.2376 0 0
0.2442 0 0
0.2508 0 0
0.2574 0 0
0.264 0 0
0.2706 0 0
0.2772 0 0
0.2838 0 0
0.2904 0 0
0.297 0 0
0.3036 0 0
0.3102 0 0
0.3168 0 0
0.3234 0 0
0.33 -nan -nan
