#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0184 0 0
0.0368 0 0
0.0552 0 0
0.0736 0 0
0.092 0 0
0.1104 0 0
0.1288 0 0
0.1472 0 0
0.1656 0.00213469 0.0105617
0.184 0.036141 0.173864
0.2024 0.102097 0.478039
0.2208 0.200524 0.914425
0.2392 0.32351 1.43503
0.2576 0.476473 2.05456
0.276 0.671943 2.81782
0.2944 0.893748 3.64043
0.3128 1.14572 4.52911
0.3312 1.4226 5.45259
0.3496 1.70657 6.33387
0.368 1.9472 6.98344
0.3864 2.04334 7.05676
0.4048 1.96451 6.51033
0.4232 1.78041 5.6493
0.4416 1.53392 4.65252
0.46 1.23626 3.57756
0.4784 0.905043 2.49361
0.4968 0.566646 1.48315
0.5152 0.262597 0.651632
0.5336 0.0401071 0.0941887
0.552 0 0
0.5704 0 0
0.5888 0 0
0.6072 0 0
0.6256 0 0
0.644 0 0
0.6624 0 0
0.6808 0 0
0.6992 0 0
0.7176 0 0
0.736 0 0
0.7544 0 0
0.7728 0 0
0.7912 0 0
0.8096 0 0
0.828 0 0
0.8464 0 0
0.8648 0 0
0.8832 0 0
0.9016 0 0
0.92 -nan -nan
