#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0086 2.35659 2.79683
0.0172 4.76192 5.63821
0.0258 6.87978 8.11145
0.0344 8.96228 10.5053
0.043 11.0447 12.8504
0.0516 13.3835 15.4337
0.0602 15.7955 18.0257
0.0688 18.1836 20.5026
0.0774 20.4742 22.7718
0.086 22.3721 24.503
0.0946 23.2217 24.9998
0.1032 22.8295 24.1134
0.1118 21.2872 22.0178
0.1204 19.2478 19.4587
0.129 16.8598 16.627
0.1376 14.3099 13.7388
0.1462 11.645 10.8608
0.1548 8.85579 8.0052
0.1634 6.40222 5.59576
0.172 4.09238 3.44953
0.1806 2.03946 1.65328
0.1892 0.543496 0.422436
0.1978 0 0
0.2064 0 0
0.215 0 0
0.2236 0 0
0.2322 0 0
0.2408 0 0
0.2494 0 0
0.258 0 0
0.2666 0 0
0.2752 0 0
0.2838 0 0
0.2924 0 0
0.301 0 0
0.3096 0 0
0.3182 0 0
0.3268 0 0
0.3354 0 0
0.344 0 0
0.3526 0 0
0.3612 0 0
0.3698 0 0
0.3784 0 0
0.387 0 0
0.3956 0 0
0.4042 0 0
0.4128 0 0
0.4214 0 0
0.43 -nan -nan
