#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0022 14.6926 1.83167
0.0044 29.3863 3.62452
0.0066 44.0823 5.33972
0.0088 58.7817 6.93844
0.011 73.4857 8.38178
0.0132 88.1953 9.63081
0.0154 102.912 10.6466
0.0176 117.636 11.39
0.0198 121.415 11.0342
0.022 104.118 9.06213
0.0242 83.6287 6.91609
0.0264 59.7456 4.65277
0.0286 32.2346 2.33946
0.0308 0.825944 0.055182
0.033 0 0
0.0352 0 0
0.0374 0 0
0.0396 0 0
0.0418 0 0
0.044 0 0
0.0462 0 0
0.0484 0 0
0.0506 0 0
0.0528 0 0
0.055 0 0
0.0572 0 0
0.0594 0 0
0.0616 0 0
0.0638 0 0
0.066 0 0
0.0682 0 0
0.0704 0 0
0.0726 0 0
0.0748 0 0
0.077 0 0
0.0792 0 0
0.0814 0 0
0.0836 0 0
0.0858 0 0
0.088 0 0
0.0902 0 0
0.0924 0 0
0.0946 0 0
0.0968 0 0
0.099 0 0
0.1012 0 0
0.1034 0 0
0.1056 0 0
0.1078 0 0
0.11 -nan -nan
