#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0138 0 0 0 0 0
0.0276 0 0 0 0 0
0.0414 0 0 0 0 0
0.0552 0.000840981 0.00013541 1.07486e-05 0.0145272 -0.0144969
0.069 0.105826 0.0212943 0.00171092 1.7501 -1.74593
0.0828 0.304729 0.0735664 0.00621143 4.82981 -4.81681
0.0966 0.612636 0.172527 0.0156098 9.39464 -9.36691
0.1104 0.980815 0.315632 0.0307867 14.541 -14.494
0.1242 1.4405 0.521462 0.0549328 20.712 -20.6395
0.138 1.99138 0.800935 0.0910459 27.8755 -27.7709
0.1518 2.59013 1.14587 0.140178 35.2899 -35.1481
0.1656 3.28113 1.58352 0.207891 43.6718 -43.4855
0.1794 4.01693 2.1002 0.29494 52.2985 -52.0624
0.1932 4.76682 2.68406 0.40191 60.768 -60.4783
0.207 5.49195 3.3134 0.527389 68.6187 -68.2739
0.2208 6.03776 3.88574 0.655428 73.8077 -73.4151
0.2346 6.2165 4.251 0.757635 74.0459 -73.626
0.2484 5.97641 4.32736 0.812734 69.0815 -68.661
0.2622 5.47244 4.18277 0.825929 61.3473 -60.946
0.276 4.79503 3.85815 0.799293 52.1739 -51.8076
0.2898 4.00319 3.3824 0.733781 42.3413 -42.0227
0.3036 3.14514 2.78431 0.631397 32.3963 -32.1354
0.3174 2.25206 2.08464 0.493329 22.6207 -22.4258
0.3312 1.37557 1.32894 0.327683 13.49 -13.3655
0.345 0.614603 0.618661 0.158724 5.90308 -5.8448
0.3588 0.0918225 0.0961578 0.025638 0.868663 -0.859507
0.3726 0 0 0 0 0
0.3864 0 0 0 0 0
0.4002 0 0 0 0 0
0.414 0 0 0 0 0
0.4278 0 0 0 0 0
0.4416 0 0 0 0 0
0.4554 0 0 0 0 0
0.4692 0 0 0 0 0
0.483 0 0 0 0 0
0.4968 0 0 0 0 0
0.5106 0 0 0 0 0
0.5244 0 0 0 0 0
0.5382 0 0 0 0 0
0.552 0 0 0 0 0
0.5658 0 0 0 0 0
0.5796 0 0 0 0 0
0.5934 0 0 0 0 0
0.6072 0 0 0 0 0
0.621 0 0 0 0 0
0.6348 0 0 0 0 0
0.6486 0 0 0 0 0
0.6624 0 0 0 0 0
0.6762 0 0 0 0 0
0.69 -nan -nan -nan -nan -nan
