#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0144 0 0
0.0288 0 0
0.0432 0 0
0.0576 0 0
0.072 0.0463473 0.148571
0.0864 0.182282 0.575235
0.1008 0.372875 1.15709
0.1152 0.644927 1.96798
0.1296 0.98032 2.93944
0.144 1.35474 3.98504
0.1584 1.83608 5.29876
0.1728 2.35253 6.65048
0.1872 2.91896 8.07395
0.2016 3.53536 9.55798
0.216 4.16168 10.9818
0.2304 4.74276 12.1959
0.2448 5.08464 12.7096
0.2592 5.07932 12.3078
0.2736 4.75291 11.1357
0.288 4.25891 9.62949
0.3024 3.66254 7.97731
0.3168 2.97956 6.23897
0.3312 2.23734 4.49363
0.3456 1.54442 2.97032
0.36 0.88765 1.63075
0.3744 0.325409 0.569499
0.3888 0 0
0.4032 0 0
0.4176 0 0
0.432 0 0
0.4464 0 0
0.4608 0 0
0.4752 0 0
0.4896 0 0
0.504 0 0
0.5184 0 0
0.5328 0 0
0.5472 0 0
0.5616 0 0
0.576 0 0
0.5904 0 0
0.6048 0 0
0.6192 0 0
0.6336 0 0
0.648 0 0
0.6624 0 0
0.6768 0 0
0.6912 0 0
0.7056 0 0
0.72 -nan -nan
