#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0198 0 0
0.0396 0 0
0.0594 0 0
0.0792 0 0
0.099 0 0
0.1188 0 0
0.1386 0 0
0.1584 0 0
0.1782 0 0
0.198 0 0
0.2178 0.0135882 0.0744067
0.2376 0.0533657 0.28323
0.2574 0.11466 0.590014
0.2772 0.193866 0.96599
0.297 0.308601 1.49221
0.3168 0.445147 2.08628
0.3366 0.605346 2.74741
0.3564 0.793407 3.48567
0.3762 1.00627 4.27641
0.396 1.22823 5.04262
0.4158 1.42583 5.64406
0.4356 1.51626 5.76547
0.4554 1.46745 5.33949
0.4752 1.33054 4.622
0.495 1.14358 3.78682
0.5148 0.913119 2.877
0.5346 0.655977 1.96262
0.5544 0.394276 1.11779
0.5742 0.161205 0.432206
0.594 0.00416921 0.0105446
0.6138 0 0
0.6336 0 0
0.6534 0 0
0.6732 0 0
0.693 0 0
0.7128 0 0
0.7326 0 0
0.7524 0 0
0.7722 0 0
0.792 0 0
0.8118 0 0
0.8316 0 0
0.8514 0 0
0.8712 0 0
0.891 0 0
0.9108 0 0
0.9306 0 0
0.9504 0 0
0.9702 0 0
0.99 -nan -nan
