#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0066 8.72557 6.22433
0.0132 17.456 12.4151
0.0198 25.5056 18.0555
0.0264 28.3444 19.9772
0.033 30.7308 21.5252
0.0396 32.6499 22.6866
0.0462 34.0823 23.449
0.0528 35.004 23.8013
0.0594 35.3855 23.7332
0.066 35.1916 23.2356
0.0726 34.3809 22.3008
0.0792 32.9045 20.9227
0.0858 30.7053 19.0971
0.0924 27.7169 16.8218
0.099 23.8618 14.0972
0.1056 19.0502 10.927
0.1122 13.1777 7.31819
0.1188 6.1226 3.28224
0.1254 0 0
0.132 0 0
0.1386 0 0
0.1452 0 0
0.1518 0 0
0.1584 0 0
0.165 0 0
0.1716 0 0
0.1782 0 0
0.1848 0 0
0.1914 0 0
0.198 0 0
0.2046 0 0
0.2112 0 0
0.2178 0 0
0.2244 0 0
0.231 0 0
0.2376 0 0
0.2442 0 0
0.2508 0 0
0.2574 0 0
0.264 0 0
0.2706 0 0
0.2772 0 0
0.2838 0 0
0.2904 0 0
0.297 0 0
0.3036 0 0
0.3102 0 0
0.3168 0 0
0.3234 0 0
0.33 -nan -nan
