#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0196 0 0
0.0392 0 0
0.0588 0 0
0.0784 0 0
0.098 0 0
0.1176 0 0
0.1372 0 0
0.1568 0 0
0.1764 0 0
0.196 0 0
0.2156 0.0199433 0.10676
0.2352 0.065961 0.342521
0.2548 0.135891 0.684864
0.2744 0.225545 1.10194
0.294 0.345068 1.63513
0.3136 0.494245 2.27146
0.3332 0.667093 2.97034
0.3528 0.866763 3.7368
0.3724 1.0886 4.54024
0.392 1.31792 5.31089
0.4116 1.5103 5.86722
0.4312 1.5825 5.90437
0.4508 1.51374 5.40443
0.4704 1.36386 4.64979
0.49 1.16206 3.77711
0.5096 0.918536 2.84114
0.5292 0.651232 1.9131
0.5488 0.382305 1.06436
0.5684 0.145184 0.382256
0.588 0 0
0.6076 0 0
0.6272 0 0
0.6468 0 0
0.6664 0 0
0.686 0 0
0.7056 0 0
0.7252 0 0
0.7448 0 0
0.7644 0 0
0.784 0 0
0.8036 0 0
0.8232 0 0
0.8428 0 0
0.8624 0 0
0.882 0 0
0.9016 0 0
0.9212 0 0
0.9408 0 0
0.9604 0 0
0.98 -nan -nan
