#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0164 0 0
0.0328 0 0
0.0492 0 0
0.0656 0 0
0.082 0 0
0.0984 0 0
0.1148 0 0
0.1312 0.075375 0.300262
0.1476 0.215944 0.840742
0.164 0.436911 1.66469
0.1804 0.705449 2.62712
0.1968 1.02242 3.7171
0.2132 1.42868 5.07247
0.2296 1.87618 6.49634
0.246 2.37604 8.01576
0.2624 2.92496 9.60522
0.2788 3.48566 11.1275
0.2952 3.99885 12.3896
0.3116 4.27317 12.8126
0.328 4.21566 12.1949
0.3444 3.90012 10.8576
0.3608 3.44853 9.22307
0.3772 2.88828 7.40734
0.3936 2.26194 5.55237
0.41 1.59827 3.74725
0.4264 0.939784 2.09965
0.4428 0.363828 0.772855
0.4592 0 0
0.4756 0 0
0.492 0 0
0.5084 0 0
0.5248 0 0
0.5412 0 0
0.5576 0 0
0.574 0 0
0.5904 0 0
0.6068 0 0
0.6232 0 0
0.6396 0 0
0.656 0 0
0.6724 0 0
0.6888 0 0
0.7052 0 0
0.7216 0 0
0.738 0 0
0.7544 0 0
0.7708 0 0
0.7872 0 0
0.8036 0 0
0.82 -nan -nan
