#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0176 0 0
0.0352 0 0
0.0528 0 0
0.0704 0 0
0.088 0 0
0.1056 0 0
0.1232 0 0
0.1408 0 0
0.1584 0.0303808 0.1371
0.176 0.128308 0.56464
0.1936 0.277713 1.19189
0.2112 0.463704 1.93837
0.2288 0.707696 2.88181
0.2464 1.00544 3.98726
0.264 1.34183 5.17603
0.2816 1.72677 6.47463
0.2992 2.15812 7.85998
0.3168 2.60411 9.20037
0.3344 3.02082 10.3366
0.352 3.25245 10.7459
0.3696 3.21681 10.2282
0.3872 2.97527 9.08098
0.4048 2.61649 7.6522
0.4224 2.16788 6.06413
0.44 1.66721 4.45268
0.4576 1.14106 2.90388
0.4752 0.625201 1.51269
0.4928 0.181405 0.416284
0.5104 0 0
0.528 0 0
0.5456 0 0
0.5632 0 0
0.5808 0 0
0.5984 0 0
0.616 0 0
0.6336 0 0
0.6512 0 0
0.6688 0 0
0.6864 0 0
0.704 0 0
0.7216 0 0
0.7392 0 0
0.7568 0 0
0.7744 0 0
0.792 0 0
0.8096 0 0
0.8272 0 0
0.8448 0 0
0.8624 0 0
0.88 -nan -nan
