#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.02 0 0
0.04 0 0
0.06 0 0
0.08 0 0
0.1 0 0
0.12 0 0
0.14 0 0
0.16 0 0
0.18 0 0
0.2 0 0
0.22 0 0
0.24 0 0
0.26 0.0292875 0.158206
0.28 0.183728 0.956331
0.3 0.340021 1.70548
0.32 0.496459 2.39938
0.34 0.650859 3.03035
0.36 0.800427 3.5891
0.38 0.941592 4.06443
0.4 1.06979 4.4429
0.42 1.17917 4.70848
0.44 1.26226 4.84201
0.46 1.30948 4.82074
0.48 1.30848 4.61759
0.5 1.24339 4.2004
0.52 1.09363 3.53101
0.54 0.832478 2.56415
0.56 0.424997 1.24613
0.58 0 0
0.6 0 0
0.62 0 0
0.64 0 0
0.66 0 0
0.68 0 0
0.7 0 0
0.72 0 0
0.74 0 0
0.76 0 0
0.78 0 0
0.8 0 0
0.82 0 0
0.84 0 0
0.86 0 0
0.88 0 0
0.9 0 0
0.92 0 0
0.94 0 0
0.96 0 0
0.98 0 0
1 -nan -nan
