#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0198 0 0
0.0396 0 0
0.0594 0 0
0.0792 0 0
0.099 0 0
0.1188 0 0
0.1386 0 0
0.1584 0 0
0.1782 0 0
0.198 0 0
0.2178 0 0
0.2376 0 0
0.2574 0.0613334 0.324028
0.2772 0.222915 1.13551
0.297 0.385856 1.8951
0.3168 0.548322 2.59622
0.3366 0.707973 3.23085
0.3564 0.861824 3.7893
0.3762 1.00607 4.25994
0.396 1.13584 4.62883
0.4158 1.24495 4.87939
0.4356 1.32547 4.99187
0.4554 1.36727 4.94281
0.4752 1.35733 4.70442
0.495 1.27891 4.24374
0.5148 1.11038 3.52175
0.5346 0.82367 2.49226
0.5544 0.382134 1.10066
0.5742 0 0
0.594 0 0
0.6138 0 0
0.6336 0 0
0.6534 0 0
0.6732 0 0
0.693 0 0
0.7128 0 0
0.7326 0 0
0.7524 0 0
0.7722 0 0
0.792 0 0
0.8118 0 0
0.8316 0 0
0.8514 0 0
0.8712 0 0
0.891 0 0
0.9108 0 0
0.9306 0 0
0.9504 0 0
0.9702 0 0
0.99 -nan -nan
