#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0122 0 0 0 0 0
0.0244 0 0 0 0 0
0.0366 0.158094 0.0191334 0.00192424 2.13173 -2.11404
0.0488 0.476969 0.0769487 0.00703899 6.22805 -6.17402
0.061 0.949578 0.191462 0.017305 12.0787 -11.9698
0.0732 1.49764 0.362303 0.0336948 18.5254 -18.3513
0.0854 2.20871 0.623313 0.0610382 26.6857 -26.4255
0.0976 3.01478 0.972258 0.101305 35.6125 -35.2523
0.1098 3.90057 1.41508 0.157563 45.0602 -44.5871
0.122 4.93093 1.98762 0.236874 55.8911 -55.284
0.1342 6.0014 2.66103 0.339115 66.7514 -66.0007
0.1464 7.10115 3.435 0.467292 77.5675 -76.6642
0.1586 8.17582 4.28462 0.620833 87.7588 -86.7004
0.1708 9.09526 5.13344 0.790278 95.8957 -94.6963
0.183 9.54987 5.77534 0.942005 98.5783 -97.2938
0.1952 9.41704 6.07496 1.04707 94.8388 -93.5457
0.2074 8.77835 6.01713 1.09329 86.0448 -84.8131
0.2196 7.8559 5.70197 1.08986 74.9434 -73.8162
0.2318 6.75859 5.17855 1.03922 62.805 -61.8125
0.244 5.50555 4.44102 0.933935 49.8476 -49.0192
0.2562 4.25796 3.60703 0.793599 37.6589 -37.0013
0.2684 3.00869 2.67069 0.613742 26.025 -25.5474
0.2806 1.80287 1.67351 0.401073 15.2589 -14.9641
0.2928 0.766196 0.74238 0.185287 6.35628 -6.22692
0.305 0.0699705 0.070649 0.0183407 0.571027 -0.558787
0.3172 0 0 0 0 0
0.3294 0 0 0 0 0
0.3416 0 0 0 0 0
0.3538 0 0 0 0 0
0.366 0 0 0 0 0
0.3782 0 0 0 0 0
0.3904 0 0 0 0 0
0.4026 0 0 0 0 0
0.4148 0 0 0 0 0
0.427 0 0 0 0 0
0.4392 0 0 0 0 0
0.4514 0 0 0 0 0
0.4636 0 0 0 0 0
0.4758 0 0 0 0 0
0.488 0 0 0 0 0
0.5002 0 0 0 0 0
0.5124 0 0 0 0 0
0.5246 0 0 0 0 0
0.5368 0 0 0 0 0
0.549 0 0 0 0 0
0.5612 0 0 0 0 0
0.5734 0 0 0 0 0
0.5856 0 0 0 0 0
0.5978 0 0 0 0 0
0.61 -nan -nan -nan -nan -nan
