#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0048 17.9454 7.04209
0.0096 36.1709 14.1376
0.0144 52.5979 20.4664
0.0192 68.2968 26.3833
0.024 81.6204 31.2505
0.0288 90.4266 34.2724
0.0336 93.5514 35.0577
0.0384 89.6544 33.2009
0.0432 82.0207 29.9738
0.048 73.0041 26.2681
0.0528 63.2291 22.3456
0.0576 53.48 18.5092
0.0624 43.5246 14.7123
0.0672 33.0948 10.901
0.072 24.4004 7.79603
0.0768 15.8251 4.8921
0.0816 8.07662 2.40795
0.0864 2.65306 0.758416
0.0912 0 0
0.096 0 0
0.1008 0 0
0.1056 0 0
0.1104 0 0
0.1152 0 0
0.12 0 0
0.1248 0 0
0.1296 0 0
0.1344 0 0
0.1392 0 0
0.144 0 0
0.1488 0 0
0.1536 0 0
0.1584 0 0
0.1632 0 0
0.168 0 0
0.1728 0 0
0.1776 0 0
0.1824 0 0
0.1872 0 0
0.192 0 0
0.1968 0 0
0.2016 0 0
0.2064 0 0
0.2112 0 0
0.216 0 0
0.2208 0 0
0.2256 0 0
0.2304 0 0
0.2352 0 0
0.24 -nan -nan
