#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0078 4.41649 0.181673 0.12716 29.5022 -27.0766
0.0156 8.54683 0.703116 0.256176 56.868 -52.179
0.0234 12.8815 1.58966 0.413346 85.5212 -78.4492
0.0312 16.4134 2.70051 0.572786 108.141 -99.1445
0.039 19.8772 4.0878 0.766191 129.826 -118.947
0.0468 23.4621 5.7901 1.01068 151.934 -139.102
0.0546 26.9726 7.76623 1.30757 173.134 -158.383
0.0624 30.2996 9.9715 1.65902 192.757 -176.178
0.0702 33.0551 12.2398 2.04575 208.27 -190.167
0.078 34.3424 14.131 2.39829 213.848 -195.031
0.0858 33.8785 15.3358 2.66249 208.029 -189.469
0.0936 31.7432 15.677 2.79837 191.799 -174.419
0.1014 28.7976 15.4095 2.83932 171.122 -155.357
0.1092 25.332 14.6006 2.78456 148.002 -134.128
0.117 21.5566 13.3154 2.63314 123.823 -112.003
0.1248 17.5366 11.5581 2.37225 99.0002 -89.3681
0.1326 13.5189 9.47071 2.01868 75.0168 -67.5723
0.1404 9.8514 7.31119 1.61905 53.7922 -48.3451
0.1482 6.24878 4.89794 1.12648 33.5394 -30.0694
0.156 3.06344 2.52924 0.603954 16.1608 -14.4508
0.1638 0.791012 0.686299 0.170133 4.10855 -3.66381
0.1716 0 0 0 0 0
0.1794 0 0 0 0 0
0.1872 0 0 0 0 0
0.195 0 0 0 0 0
0.2028 0 0 0 0 0
0.2106 0 0 0 0 0
0.2184 0 0 0 0 0
0.2262 0 0 0 0 0
0.234 0 0 0 0 0
0.2418 0 0 0 0 0
0.2496 0 0 0 0 0
0.2574 0 0 0 0 0
0.2652 0 0 0 0 0
0.273 0 0 0 0 0
0.2808 0 0 0 0 0
0.2886 0 0 0 0 0
0.2964 0 0 0 0 0
0.3042 0 0 0 0 0
0.312 0 0 0 0 0
0.3198 0 0 0 0 0
0.3276 0 0 0 0 0
0.3354 0 0 0 0 0
0.3432 0 0 0 0 0
0.351 0 0 0 0 0
0.3588 0 0 0 0 0
0.3666 0 0 0 0 0
0.3744 0 0 0 0 0
0.3822 0 0 0 0 0
0.39 -nan -nan -nan -nan -nan
