#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0076 7.29093 6.80958
0.0152 12.7585 11.889
0.0228 15.6452 14.526
0.0304 18.2228 16.8306
0.038 20.4838 18.7891
0.0456 22.4174 20.3881
0.0532 24.0092 21.6144
0.0608 25.2413 22.455
0.0684 26.0919 22.8975
0.076 26.5343 22.9296
0.0836 26.5372 22.5398
0.0912 26.0633 21.717
0.0988 25.0691 20.4513
0.1064 23.5034 18.7335
0.114 21.3067 16.5562
0.1216 18.4093 13.9136
0.1292 14.7301 10.8019
0.1368 10.1741 7.22022
0.1444 4.63039 3.17115
0.152 0 0
0.1596 0 0
0.1672 0 0
0.1748 0 0
0.1824 0 0
0.19 0 0
0.1976 0 0
0.2052 0 0
0.2128 0 0
0.2204 0 0
0.228 0 0
0.2356 0 0
0.2432 0 0
0.2508 0 0
0.2584 0 0
0.266 0 0
0.2736 0 0
0.2812 0 0
0.2888 0 0
0.2964 0 0
0.304 0 0
0.3116 0 0
0.3192 0 0
0.3268 0 0
0.3344 0 0
0.342 0 0
0.3496 0 0
0.3572 0 0
0.3648 0 0
0.3724 0 0
0.38 -nan -nan
