#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0128 0 0 0 0 0
0.0256 0 0 0 0 0
0.0384 0 0 0 0 0
0.0512 0 0 0 0 0
0.064 0.187909 0.0378712 0.00334035 2.7862 -2.77123
0.0768 0.99881 0.241496 0.0219148 14.1921 -14.11
0.0896 1.81251 0.511162 0.0488549 24.7502 -24.5966
0.1024 2.617 0.84333 0.0858679 34.4309 -34.2025
0.1152 3.39987 1.23238 0.134324 43.1968 -42.8918
0.128 4.14807 1.67046 0.195135 51.0028 -50.6206
0.1408 4.84775 2.14727 0.268619 57.7947 -57.3364
0.1536 5.4841 2.64982 0.354348 63.5088 -62.9771
0.1664 6.04116 3.16215 0.45097 68.0706 -67.4704
0.1792 6.5016 3.66493 0.556012 71.3941 -70.7323
0.192 6.84656 4.13516 0.665645 73.3801 -72.6661
0.2048 7.05541 4.54562 0.774427 73.915 -73.161
0.2176 7.10558 4.86446 0.874998 72.8688 -72.0903
0.2304 6.97235 5.05459 0.957744 70.0935 -69.3097
0.2432 6.6287 5.07316 1.01041 65.4203 -64.6547
0.256 6.04514 4.87092 1.01769 58.6571 -57.9389
0.2688 5.18968 4.39167 0.960742 49.5856 -48.95
0.2816 4.02781 3.5717 0.81672 37.9573 -37.4476
0.2944 2.52271 2.33946 0.55826 23.4893 -23.1584
0.3072 0.635664 0.615351 0.153011 5.85929 -5.77257
0.32 0 0 0 0 0
0.3328 0 0 0 0 0
0.3456 0 0 0 0 0
0.3584 0 0 0 0 0
0.3712 0 0 0 0 0
0.384 0 0 0 0 0
0.3968 0 0 0 0 0
0.4096 0 0 0 0 0
0.4224 0 0 0 0 0
0.4352 0 0 0 0 0
0.448 0 0 0 0 0
0.4608 0 0 0 0 0
0.4736 0 0 0 0 0
0.4864 0 0 0 0 0
0.4992 0 0 0 0 0
0.512 0 0 0 0 0
0.5248 0 0 0 0 0
0.5376 0 0 0 0 0
0.5504 0 0 0 0 0
0.5632 0 0 0 0 0
0.576 0 0 0 0 0
0.5888 0 0 0 0 0
0.6016 0 0 0 0 0
0.6144 0 0 0 0 0
0.6272 0 0 0 0 0
0.64 -nan -nan -nan -nan -nan
