#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0038 19.2048 4.91136
0.0076 37.6863 9.60603
0.0114 55.6218 14.0826
0.0152 70.0962 17.6248
0.019 80.7713 20.1344
0.0228 84.8604 20.9754
0.0266 84.1789 20.5934
0.0304 80.1798 19.3615
0.0342 73.3008 17.4256
0.038 63.4708 14.8352
0.0418 53.1611 12.1821
0.0456 43.4478 9.72158
0.0494 33.3864 7.27713
0.0532 24.4267 5.16075
0.057 16.3483 3.33449
0.0608 8.91287 1.74974
0.0646 3.48053 0.652819
0.0684 0.20031 0.0356748
0.0722 0 0
0.076 0 0
0.0798 0 0
0.0836 0 0
0.0874 0 0
0.0912 0 0
0.095 0 0
0.0988 0 0
0.1026 0 0
0.1064 0 0
0.1102 0 0
0.114 0 0
0.1178 0 0
0.1216 0 0
0.1254 0 0
0.1292 0 0
0.133 0 0
0.1368 0 0
0.1406 0 0
0.1444 0 0
0.1482 0 0
0.152 0 0
0.1558 0 0
0.1596 0 0
0.1634 0 0
0.1672 0 0
0.171 0 0
0.1748 0 0
0.1786 0 0
0.1824 0 0
0.1862 0 0
0.19 -nan -nan
