#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0072 4.86898 4.10374
0.0144 9.85329 8.28396
0.0216 14.3068 11.9819
0.0288 18.9221 15.7582
0.036 22.8671 18.9087
0.0432 26.3244 21.5792
0.0504 29.6356 24.0419
0.0576 32.5886 26.1181
0.0648 34.2717 27.0903
0.072 34.2439 26.6529
0.0792 32.4391 24.819
0.0864 29.6181 22.2345
0.0936 26.3401 19.3632
0.1008 22.689 16.2992
0.108 18.7821 13.1569
0.1152 15.1447 10.3196
0.1224 11.4338 7.5606
0.1296 7.71165 4.93654
0.1368 4.82359 2.97951
0.144 2.25528 1.34041
0.1512 0.405403 0.231065
0.1584 0 0
0.1656 0 0
0.1728 0 0
0.18 0 0
0.1872 0 0
0.1944 0 0
0.2016 0 0
0.2088 0 0
0.216 0 0
0.2232 0 0
0.2304 0 0
0.2376 0 0
0.2448 0 0
0.252 0 0
0.2592 0 0
0.2664 0 0
0.2736 0 0
0.2808 0 0
0.288 0 0
0.2952 0 0
0.3024 0 0
0.3096 0 0
0.3168 0 0
0.324 0 0
0.3312 0 0
0.3384 0 0
0.3456 0 0
0.3528 0 0
0.36 -nan -nan
