#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0098 0 0
0.0196 1.48342 2.2797
0.0294 3.45085 5.26892
0.0392 5.28405 8.00526
0.049 6.97963 10.478
0.0588 8.53244 12.6759
0.0686 9.93547 14.5869
0.0784 11.1797 16.1985
0.0882 12.2537 17.4973
0.098 13.1436 18.4691
0.1078 13.8328 19.0993
0.1176 14.3011 19.3723
0.1274 14.5247 19.2718
0.1372 14.4755 18.781
0.147 14.1203 17.8824
0.1568 13.4197 16.5583
0.1666 12.3276 14.7905
0.1764 10.7893 12.5609
0.1862 8.7403 9.8515
0.196 6.10408 6.64511
0.2058 2.78971 2.92566
0.2156 0 0
0.2254 0 0
0.2352 0 0
0.245 0 0
0.2548 0 0
0.2646 0 0
0.2744 0 0
0.2842 0 0
0.294 0 0
0.3038 0 0
0.3136 0 0
0.3234 0 0
0.3332 0 0
0.343 0 0
0.3528 0 0
0.3626 0 0
0.3724 0 0
0.3822 0 0
0.392 0 0
0.4018 0 0
0.4116 0 0
0.4214 0 0
0.4312 0 0
0.441 0 0
0.4508 0 0
0.4606 0 0
0.4704 0 0
0.4802 0 0
0.49 -nan -nan
