#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0134 0 0 0 0 0
0.0268 0 0 0 0 0
0.0402 0 0 0 0 0
0.0536 0.0620123 0.00998779 0.000810867 0.983099 -0.979812
0.067 0.204753 0.0412139 0.0033776 3.128 -3.1166
0.0804 0.407309 0.0983663 0.00845254 6.00895 -5.98522
0.0938 0.676829 0.190673 0.0174919 9.66508 -9.62399
0.1072 1.02804 0.33096 0.0326841 14.2921 -14.2275
0.1206 1.41273 0.511609 0.0544513 19.0764 -18.9843
0.134 1.90313 0.765758 0.0878372 25.1217 -24.9938
0.1474 2.43107 1.07598 0.132688 31.3606 -31.1923
0.1608 3.00131 1.44912 0.191579 37.8769 -37.663
0.1742 3.61018 1.8884 0.266843 44.6503 -44.3857
0.1876 4.21882 2.37661 0.357848 51.175 -50.857
0.201 4.77478 2.88209 0.461019 56.8157 -56.4453
0.2144 5.10622 3.28779 0.557001 59.3999 -58.9913
0.2278 5.11588 3.50002 0.626219 57.9448 -57.5215
0.2412 4.81306 3.48666 0.657128 52.8996 -52.4869
0.2546 4.33217 3.31281 0.65623 46.1954 -45.8106
0.268 3.74475 3.01456 0.626364 38.7883 -38.4435
0.2814 3.06484 2.59085 0.563583 30.8539 -30.5612
0.2948 2.36966 2.09887 0.47717 23.2456 -23.0108
0.3082 1.67851 1.55456 0.368779 16.0768 -15.904
0.3216 1.01621 0.982302 0.242776 9.51271 -9.40375
0.335 0.448355 0.451577 0.116115 4.11057 -4.06038
0.3484 0.0545774 0.0571879 0.0152799 0.491953 -0.485551
0.3618 0 0 0 0 0
0.3752 0 0 0 0 0
0.3886 0 0 0 0 0
0.402 0 0 0 0 0
0.4154 0 0 0 0 0
0.4288 0 0 0 0 0
0.4422 0 0 0 0 0
0.4556 0 0 0 0 0
0.469 0 0 0 0 0
0.4824 0 0 0 0 0
0.4958 0 0 0 0 0
0.5092 0 0 0 0 0
0.5226 0 0 0 0 0
0.536 0 0 0 0 0
0.5494 0 0 0 0 0
0.5628 0 0 0 0 0
0.5762 0 0 0 0 0
0.5896 0 0 0 0 0
0.603 0 0 0 0 0
0.6164 0 0 0 0 0
0.6298 0 0 0 0 0
0.6432 0 0 0 0 0
0.6566 0 0 0 0 0
0.67 -nan -nan -nan -nan -nan
