#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.003 34.8807 5.83987
0.006 67.4966 11.272
0.009 96.7404 16.0628
0.012 118.05 19.4991
0.015 128.864 21.1864
0.018 132.255 21.5847
0.021 128.133 20.7173
0.024 121.753 19.3733
0.027 111.317 17.3573
0.03 96.3122 14.6726
0.033 78.5085 11.6638
0.036 59.8938 8.65698
0.039 44.108 6.1515
0.042 28.955 3.88308
0.045 15.3124 1.96473
0.048 5.67233 0.688276
0.051 0 0
0.054 0 0
0.057 0 0
0.06 0 0
0.063 0 0
0.066 0 0
0.069 0 0
0.072 0 0
0.075 0 0
0.078 0 0
0.081 0 0
0.084 0 0
0.087 0 0
0.09 0 0
0.093 0 0
0.096 0 0
0.099 0 0
0.102 0 0
0.105 0 0
0.108 0 0
0.111 0 0
0.114 0 0
0.117 0 0
0.12 0 0
0.123 0 0
0.126 0 0
0.129 0 0
0.132 0 0
0.135 0 0
0.138 0 0
0.141 0 0
0.144 0 0
0.147 0 0
0.15 -nan -nan
