#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.018 0 0 0 0 0
0.036 0 0 0 0 0
0.054 0 0 0 0 0
0.072 0 0 0 0 0
0.09 0 0 0 0 0
0.108 0 0 0 0 0
0.126 0 0 0 0 0
0.144 0 0 0 0 0
0.162 0.00391307 0.00141313 0.000139461 0.106844 -0.106735
0.18 0.048294 0.0193749 0.0020808 1.22683 -1.22548
0.198 0.124832 0.0550814 0.00641235 2.96972 -2.96625
0.216 0.23493 0.113074 0.0142089 5.26759 -5.26115
0.234 0.388814 0.202722 0.0273892 8.32202 -8.31169
0.252 0.57192 0.321111 0.0464487 11.6932 -11.6785
0.27 0.793247 0.477176 0.0736228 15.5736 -15.5542
0.288 1.0557 0.677383 0.111097 20.0273 -20.0031
0.306 1.34274 0.915414 0.159082 24.6726 -24.644
0.324 1.64592 1.18814 0.218144 29.3827 -29.3505
0.342 1.94212 1.4799 0.286296 33.7578 -33.7236
0.36 2.15113 1.72549 0.350837 36.2885 -36.2543
0.378 2.19583 1.84947 0.394303 35.7351 -35.703
0.396 2.07309 1.82928 0.408073 32.4088 -32.3804
0.414 1.85196 1.7085 0.398056 27.8664 -27.8428
0.432 1.55869 1.50055 0.364518 22.6486 -22.6302
0.45 1.21447 1.21799 0.308014 17.1037 -17.0905
0.468 0.844562 0.880986 0.231596 11.5746 -11.5662
0.486 0.481412 0.521563 0.142339 6.45095 -6.44658
0.504 0.172682 0.194051 0.054912 2.27929 -2.27788
0.522 0 0 0 0 0
0.54 0 0 0 0 0
0.558 0 0 0 0 0
0.576 0 0 0 0 0
0.594 0 0 0 0 0
0.612 0 0 0 0 0
0.63 0 0 0 0 0
0.648 0 0 0 0 0
0.666 0 0 0 0 0
0.684 0 0 0 0 0
0.702 0 0 0 0 0
0.72 0 0 0 0 0
0.738 0 0 0 0 0
0.756 0 0 0 0 0
0.774 0 0 0 0 0
0.792 0 0 0 0 0
0.81 0 0 0 0 0
0.828 0 0 0 0 0
0.846 0 0 0 0 0
0.864 0 0 0 0 0
0.882 0 0 0 0 0
0.9 -nan -nan -nan -nan -nan
