#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0094 0.536227 0.761845
0.0188 2.81916 3.98719
0.0282 4.94696 6.95539
0.0376 6.91746 9.65549
0.047 8.72672 12.0761
0.0564 10.3688 14.2053
0.0658 11.8357 16.0307
0.0752 13.1172 17.5393
0.0846 14.2004 18.7174
0.094 15.0696 19.5511
0.1034 15.7061 20.0256
0.1128 16.0873 20.1256
0.1222 16.1866 19.8355
0.1316 15.9726 19.1392
0.141 15.4081 18.0203
0.1504 14.4496 16.4624
0.1598 13.0457 14.4492
0.1692 11.136 11.9646
0.1786 8.64917 8.9934
0.188 5.50072 5.52168
0.1974 1.5906 1.53727
0.2068 0 0
0.2162 0 0
0.2256 0 0
0.235 0 0
0.2444 0 0
0.2538 0 0
0.2632 0 0
0.2726 0 0
0.282 0 0
0.2914 0 0
0.3008 0 0
0.3102 0 0
0.3196 0 0
0.329 0 0
0.3384 0 0
0.3478 0 0
0.3572 0 0
0.3666 0 0
0.376 0 0
0.3854 0 0
0.3948 0 0
0.4042 0 0
0.4136 0 0
0.423 0 0
0.4324 0 0
0.4418 0 0
0.4512 0 0
0.4606 0 0
0.47 -nan -nan
