#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0184 0 0
0.0368 0 0
0.0552 0 0
0.0736 0 0
0.092 0 0
0.1104 0 0
0.1288 0 0
0.1472 0 0
0.1656 0 0
0.184 0.0324626 0.156811
0.2024 0.119739 0.562655
0.2208 0.253676 1.16034
0.2392 0.422624 1.87983
0.2576 0.627627 2.71213
0.276 0.894587 3.75855
0.2944 1.19607 4.87985
0.3128 1.53694 6.08414
0.3312 1.91034 7.33078
0.3496 2.29289 8.51881
0.368 2.6165 9.39264
0.3864 2.74573 9.49127
0.4048 2.63958 8.75618
0.4232 2.39097 7.59513
0.4416 2.05424 6.23838
0.46 1.64733 4.77384
0.4784 1.19204 3.28963
0.4968 0.725601 1.90279
0.5152 0.308191 0.766539
0.5336 0.0159093 0.0374552
0.552 0 0
0.5704 0 0
0.5888 0 0
0.6072 0 0
0.6256 0 0
0.644 0 0
0.6624 0 0
0.6808 0 0
0.6992 0 0
0.7176 0 0
0.736 0 0
0.7544 0 0
0.7728 0 0
0.7912 0 0
0.8096 0 0
0.828 0 0
0.8464 0 0
0.8648 0 0
0.8832 0 0
0.9016 0 0
0.92 -nan -nan
