#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0164 0 0
0.0328 0 0
0.0492 0 0
0.0656 0 0
0.082 0 0
0.0984 0 0
0.1148 0 0
0.1312 0 0
0.1476 0.0436557 0.172984
0.164 0.485967 1.87653
0.1804 0.921697 3.46654
0.1968 1.34781 4.93456
0.2132 1.76054 6.2705
0.2296 2.1552 7.46238
0.246 2.52602 8.49621
0.2624 2.86587 9.35563
0.2788 3.16594 10.0217
0.2952 3.41539 10.4727
0.3116 3.60085 10.6833
0.328 3.70577 10.6247
0.3444 3.7097 10.2639
0.3608 3.58722 9.56311
0.3772 3.30671 8.47943
0.3936 2.82864 6.96394
0.41 2.1034 4.96122
0.4264 1.0684 2.40859
0.4428 0 0
0.4592 0 0
0.4756 0 0
0.492 0 0
0.5084 0 0
0.5248 0 0
0.5412 0 0
0.5576 0 0
0.574 0 0
0.5904 0 0
0.6068 0 0
0.6232 0 0
0.6396 0 0
0.656 0 0
0.6724 0 0
0.6888 0 0
0.7052 0 0
0.7216 0 0
0.738 0 0
0.7544 0 0
0.7708 0 0
0.7872 0 0
0.8036 0 0
0.82 -nan -nan
