#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0158 0 0
0.0316 0 0
0.0474 0 0
0.0632 0 0
0.079 0 0
0.0948 0.000400588 0.00153233
0.1106 0.0576915 0.21628
0.1264 0.172506 0.634186
0.1422 0.335834 1.21023
0.158 0.529884 1.86841
0.1738 0.803852 2.7762
0.1896 1.11126 3.75318
0.2054 1.45777 4.8091
0.2212 1.87384 6.03628
0.237 2.31862 7.28351
0.2528 2.78508 8.52076
0.2686 3.2457 9.65756
0.2844 3.58157 10.3403
0.3002 3.66725 10.2425
0.316 3.48112 9.37779
0.3318 3.14643 8.15908
0.3476 2.71817 6.77264
0.3634 2.21725 5.29788
0.3792 1.66915 3.81644
0.395 1.14206 2.49459
0.4108 0.638229 1.32853
0.4266 0.208878 0.413204
0.4424 0 0
0.4582 0 0
0.474 0 0
0.4898 0 0
0.5056 0 0
0.5214 0 0
0.5372 0 0
0.553 0 0
0.5688 0 0
0.5846 0 0
0.6004 0 0
0.6162 0 0
0.632 0 0
0.6478 0 0
0.6636 0 0
0.6794 0 0
0.6952 0 0
0.711 0 0
0.7268 0 0
0.7426 0 0
0.7584 0 0
0.7742 0 0
0.79 -nan -nan
