#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0088 1.79245 0.0731451 0.0369106 14.0078 -13.2646
0.0176 3.53 0.288088 0.076865 27.4694 -26.0066
0.0264 5.15707 0.631249 0.122276 39.786 -37.653
0.0352 6.76695 1.10427 0.178936 51.6292 -48.8363
0.044 8.4529 1.72407 0.253677 63.7296 -60.2468
0.0528 10.3954 2.54427 0.358374 77.587 -73.3036
0.0616 12.3531 3.52732 0.491406 91.2209 -86.1278
0.0704 14.3322 4.67728 0.658477 104.722 -98.8045
0.0792 16.2312 5.9596 0.859648 117.336 -110.619
0.088 17.9152 7.30962 1.08986 128.09 -120.654
0.0968 18.8481 8.46017 1.31018 132.979 -125.134
0.1056 18.7999 9.2065 1.48506 130.554 -122.711
0.1144 17.7573 9.42124 1.58528 121.064 -113.643
0.1232 16.1823 9.24703 1.62479 108.229 -101.45
0.132 14.2941 8.7527 1.60668 93.7676 -87.7613
0.1408 12.2029 7.9719 1.52872 78.5147 -73.3669
0.1496 9.96602 6.91919 1.38553 62.8778 -58.6538
0.1584 7.68627 5.652 1.18109 47.5497 -44.2736
0.1672 5.63381 4.37466 0.953504 34.2331 -31.8138
0.176 3.63374 2.97143 0.674839 21.6665 -20.0936
0.1848 1.86433 1.60158 0.378644 10.906 -10.0917
0.1936 0.575584 0.518348 0.127485 3.3101 -3.05582
0.2024 0 0 0 0 0
0.2112 0 0 0 0 0
0.22 0 0 0 0 0
0.2288 0 0 0 0 0
0.2376 0 0 0 0 0
0.2464 0 0 0 0 0
0.2552 0 0 0 0 0
0.264 0 0 0 0 0
0.2728 0 0 0 0 0
0.2816 0 0 0 0 0
0.2904 0 0 0 0 0
0.2992 0 0 0 0 0
0.308 0 0 0 0 0
0.3168 0 0 0 0 0
0.3256 0 0 0 0 0
0.3344 0 0 0 0 0
0.3432 0 0 0 0 0
0.352 0 0 0 0 0
0.3608 0 0 0 0 0
0.3696 0 0 0 0 0
0.3784 0 0 0 0 0
0.3872 0 0 0 0 0
0.396 0 0 0 0 0
0.4048 0 0 0 0 0
0.4136 0 0 0 0 0
0.4224 0 0 0 0 0
0.4312 0 0 0 0 0
0.44 -nan -nan -nan -nan -nan
