#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.011 0 0
0.022 0 0
0.033 0.846513 1.62705
0.044 2.65755 5.05918
0.055 4.365 8.22062
0.066 5.96471 11.0999
0.077 7.45086 13.6842
0.088 8.81585 15.9599
0.099 10.05 17.9119
0.11 11.1415 19.5237
0.121 12.0756 20.7776
0.132 12.835 21.6544
0.143 13.3986 22.1332
0.154 13.7414 22.192
0.165 13.8337 21.8068
0.176 13.6401 20.9525
0.187 13.1188 19.6021
0.198 12.22 17.7276
0.209 10.8843 15.2995
0.22 9.04123 12.2873
0.231 6.60618 8.66011
0.242 3.47777 4.38653
0.253 0 0
0.264 0 0
0.275 0 0
0.286 0 0
0.297 0 0
0.308 0 0
0.319 0 0
0.33 0 0
0.341 0 0
0.352 0 0
0.363 0 0
0.374 0 0
0.385 0 0
0.396 0 0
0.407 0 0
0.418 0 0
0.429 0 0
0.44 0 0
0.451 0 0
0.462 0 0
0.473 0 0
0.484 0 0
0.495 0 0
0.506 0 0
0.517 0 0
0.528 0 0
0.539 0 0
0.55 -nan -nan
