#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.008 4.60889 4.75569
0.016 8.92752 9.18989
0.024 13.2606 13.5965
0.032 16.6921 17.0198
0.04 20.4859 20.7392
0.048 24.251 24.3368
0.056 28.0357 27.8444
0.064 31.6633 31.0709
0.072 34.907 33.7866
0.08 36.7319 35.0071
0.088 36.6713 34.3518
0.096 34.6669 31.8612
0.104 31.6014 28.4423
0.112 27.995 24.6266
0.12 23.9812 20.5765
0.128 19.633 16.3961
0.136 15.5429 12.6049
0.144 11.473 9.01353
0.152 7.41805 5.63149
0.16 4.05684 2.96756
0.168 1.35981 0.955573
0.176 0 0
0.184 0 0
0.192 0 0
0.2 0 0
0.208 0 0
0.216 0 0
0.224 0 0
0.232 0 0
0.24 0 0
0.248 0 0
0.256 0 0
0.264 0 0
0.272 0 0
0.28 0 0
0.288 0 0
0.296 0 0
0.304 0 0
0.312 0 0
0.32 0 0
0.328 0 0
0.336 0 0
0.344 0 0
0.352 0 0
0.36 0 0
0.368 0 0
0.376 0 0
0.384 0 0
0.392 0 0
0.4 -nan -nan
