#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0036 19.5615 0.964079 4.55014 74.0092 -45.0652
0.0072 39.0321 3.84895 9.15671 147.669 -89.896
0.0108 56.8179 8.40665 13.4898 214.611 -130.572
0.0144 71.3805 14.0849 17.2135 268.814 -163.399
0.018 81.2236 20.036 19.958 304.485 -184.848
0.0216 84.6927 25.0669 21.2568 315.407 -191.158
0.0252 83.8272 28.9447 21.5729 309.887 -187.449
0.0288 79.4847 31.3691 21.0534 291.496 -175.939
0.0324 72.8619 32.3611 19.9425 265.029 -159.585
0.036 63.3061 31.2507 17.9457 228.087 -136.967
0.0396 52.3928 28.4578 15.4143 186.734 -111.791
0.0432 42.4526 25.1718 13.0093 149.718 -89.3434
0.0468 32.5162 20.9028 10.3989 113.368 -67.414
0.0504 22.9282 15.8872 7.66601 78.9646 -46.7767
0.054 15.1563 11.268 5.31393 51.5948 -30.4429
0.0576 8.01751 6.3668 2.9493 26.9365 -15.8244
0.0612 2.66494 2.25245 1.03039 8.83588 -5.16701
0.0648 0 0 0 0 0
0.0684 0 0 0 0 0
0.072 0 0 0 0 0
0.0756 0 0 0 0 0
0.0792 0 0 0 0 0
0.0828 0 0 0 0 0
0.0864 0 0 0 0 0
0.09 0 0 0 0 0
0.0936 0 0 0 0 0
0.0972 0 0 0 0 0
0.1008 0 0 0 0 0
0.1044 0 0 0 0 0
0.108 0 0 0 0 0
0.1116 0 0 0 0 0
0.1152 0 0 0 0 0
0.1188 0 0 0 0 0
0.1224 0 0 0 0 0
0.126 0 0 0 0 0
0.1296 0 0 0 0 0
0.1332 0 0 0 0 0
0.1368 0 0 0 0 0
0.1404 0 0 0 0 0
0.144 0 0 0 0 0
0.1476 0 0 0 0 0
0.1512 0 0 0 0 0
0.1548 0 0 0 0 0
0.1584 0 0 0 0 0
0.162 0 0 0 0 0
0.1656 0 0 0 0 0
0.1692 0 0 0 0 0
0.1728 0 0 0 0 0
0.1764 0 0 0 0 0
0.18 -nan -nan -nan -nan -nan
