#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0008 69.8988 1.92895
0.0016 120.003 3.50145
0.0024 143.692 4.5628
0.0032 156.16 5.24283
0.004 158.356 5.5505
0.0048 155.127 5.5373
0.0056 155.658 5.33357
0.0064 142.601 4.79297
0.0072 131.596 4.10713
0.008 116.307 3.28874
0.0088 94.1509 2.34955
0.0096 75.7396 1.47588
0.0104 40.998 0.617595
0.0112 8.57633 0.0948763
0.012 0 0
0.0128 0 0
0.0136 0 0
0.0144 0 0
0.0152 0 0
0.016 0 0
0.0168 0 0
0.0176 0 0
0.0184 0 0
0.0192 0 0
0.02 0 0
0.0208 0 0
0.0216 0 0
0.0224 0 0
0.0232 0 0
0.024 0 0
0.0248 0 0
0.0256 0 0
0.0264 0 0
0.0272 0 0
0.028 0 0
0.0288 0 0
0.0296 0 0
0.0304 0 0
0.0312 0 0
0.032 0 0
0.0328 0 0
0.0336 0 0
0.0344 0 0
0.0352 0 0
0.036 0 0
0.0368 0 0
0.0376 0 0
0.0384 0 0
0.0392 0 0
0.04 -nan -nan
