#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0094 1.5603 0.0634812 0.0273651 13.6416 -13.0993
0.0188 2.91135 0.236852 0.0540412 25.1324 -24.1245
0.0282 4.38712 0.535272 0.0895413 37.349 -35.8353
0.0376 5.95588 0.968726 0.137406 49.9164 -47.8678
0.047 7.91143 1.60836 0.210772 65.4995 -62.7801
0.0564 9.89443 2.4136 0.307042 80.8117 -77.4118
0.0658 12.0802 3.43781 0.43837 97.4394 -93.2841
0.0752 14.367 4.67274 0.609165 114.502 -109.549
0.0846 16.6228 6.0825 0.82047 130.887 -125.139
0.094 18.7775 7.63499 1.07346 146.088 -139.57
0.1034 20.5265 9.18167 1.35088 157.658 -150.5
0.1128 21.2839 10.3868 1.60177 160.972 -153.518
0.1222 20.8768 11.038 1.78507 155.069 -147.727
0.1316 19.45 11.0755 1.87818 141.581 -134.713
0.141 17.5081 10.6829 1.89919 124.849 -118.638
0.1504 15.2235 9.90962 1.84582 106.344 -100.913
0.1598 12.7782 8.83952 1.72378 87.4874 -82.8974
0.1692 10.2307 7.49545 1.5288 68.6735 -64.9692
0.1786 7.58855 5.87028 1.25086 49.9159 -47.1441
0.188 5.10961 4.16223 0.925627 32.9704 -31.0845
0.1974 2.97833 2.54863 0.590962 18.8866 -17.7735
0.2068 1.15499 1.03597 0.250172 7.1966 -6.75894
0.2162 0.0174648 0.0163875 0.00411683 0.106947 -0.100227
0.2256 0 0 0 0 0
0.235 0 0 0 0 0
0.2444 0 0 0 0 0
0.2538 0 0 0 0 0
0.2632 0 0 0 0 0
0.2726 0 0 0 0 0
0.282 0 0 0 0 0
0.2914 0 0 0 0 0
0.3008 0 0 0 0 0
0.3102 0 0 0 0 0
0.3196 0 0 0 0 0
0.329 0 0 0 0 0
0.3384 0 0 0 0 0
0.3478 0 0 0 0 0
0.3572 0 0 0 0 0
0.3666 0 0 0 0 0
0.376 0 0 0 0 0
0.3854 0 0 0 0 0
0.3948 0 0 0 0 0
0.4042 0 0 0 0 0
0.4136 0 0 0 0 0
0.423 0 0 0 0 0
0.4324 0 0 0 0 0
0.4418 0 0 0 0 0
0.4512 0 0 0 0 0
0.4606 0 0 0 0 0
0.47 -nan -nan -nan -nan -nan
